,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
2400,honghailan,8710,374269.58955,2381556.65942,305.19998,0.15210001,0.9934684,0.6568947,0.38872427,3.8291144,0.3295632,17.384275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,honghailan,8712,374271.362262,2381558.35276,83.75001,0.1324,0.9764012,0.62227607,0.35954908,3.2948718,0.29090208,8.988727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,honghailan,8713,374271.441637,2381556.60651,21.276316,0.1541,0.9102186,0.6234939,0.3745193,3.3119998,0.32649967,4.2960305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,honghailan,8714,374271.587158,2381598.95536,26.714285,0.126,0.92783517,0.58570564,0.34191698,2.827485,0.27567255,4.884528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,honghailan,8717,374275.317791,2381600.72807,36.395348,0.1522,0.9465174,0.6413215,0.3795523,3.576023,0.32609996,5.7881184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,honghailan,8719,374273.677371,2381602.60662,43.75,0.1368,0.95530736,0.628854,0.36150524,3.3887148,0.29799247,6.39057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,honghailan,8722,374269.10007,2381598.87598,12.870968,0.1104,0.855814,0.49438202,0.307379,1.9555554,0.24167703,3.187372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,honghailan,8723,374261.518088,2381617.09451,39.604652,0.16600001,0.95074457,0.65420103,0.3972702,3.783708,0.35151026,6.0583134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,honghailan,8725,374261.478401,2381620.66639,23.723684,0.1727,0.91910595,0.6586936,0.39840883,3.8598385,0.36022997,4.5700626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,honghailan,8726,374259.494022,2381620.82514,76.14286,0.15779999,0.974074,0.6604361,0.39205724,3.8899083,0.33864403,8.55539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,honghailan,8728,374257.827144,2381618.76139,61.148144,0.16239999,0.9678188,0.62420064,0.39645147,3.3219895,0.34654057,7.629712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,honghailan,8729,374257.946206,2381616.73732,78.0,0.1617,0.97468346,0.6612576,0.39699662,3.904192,0.3458557,8.6631775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,honghailan,8730,374259.970273,2381616.77701,43.744183,0.1838,0.95530146,0.6675531,0.41902792,4.016,0.38342148,6.3901157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2413,honghailan,8731,374259.890898,2381614.87201,21.82927,0.1708,0.9123931,0.6422018,0.39476165,3.5897436,0.35622516,4.359413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,honghailan,8733,374259.636897,2381606.65668,61.148144,0.16239999,0.9678188,0.64196914,0.39645147,3.586111,0.34654057,7.629712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,honghailan,8735,374261.303776,2381605.02949,35.581394,0.1487,0.9453274,0.6122234,0.3749269,3.1576085,0.3195595,5.7175817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,honghailan,8736,374255.82689,2381606.5773,17.735632,0.1456,0.89325154,0.59072167,0.36063474,2.8866498,0.30973983,3.86641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417,honghailan,8738,374256.340182,2381608.60666,10.336538,0.097100005,0.8235794,0.435247,0.2827889,1.5413711,0.21435638,2.772973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,honghailan,8739,374197.55505,2381568.91941,50.937504,0.15980001,0.96149224,0.638191,0.39197764,3.5277781,0.34125465,6.9292507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2419,honghailan,8740,374197.521977,2381572.52437,33.87755,0.1611,0.9426566,0.614001,0.38969472,3.1813598,0.34196272,5.567067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2420,honghailan,8742,374195.273014,2381564.75222,100.25001,0.1588,0.98024696,0.6334012,0.3945418,3.455556,0.34099498,9.863544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,honghailan,8744,374213.568988,2381602.86773,28.6,0.1656,0.9324325,0.6273116,0.39295143,3.3664122,0.34907252,5.072981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,honghailan,8745,374213.469769,2381604.4883,43.23684,0.16049999,0.95478874,0.64629257,0.3914634,3.6543908,0.34194916,6.3503747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,honghailan,8746,373625.833861,2381796.36761,91.42857,0.1899,0.9783616,0.6812609,0.43103465,4.274725,0.3966033,9.405948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424,honghailan,8750,373641.629518,2381788.19197,56.218754,0.17670001,0.96504647,0.6580645,0.41294518,3.8490567,0.37197497,7.2999086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,honghailan,8751,373645.836401,2381788.15228,45.632652,0.2187,0.95711166,0.70556825,0.4575154,4.792746,0.44258353,6.5359335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,honghailan,8752,373645.320463,2381786.20759,30.267605,0.2078,0.93603605,0.680876,0.44103095,4.2671566,0.4216926,5.234074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,honghailan,8755,372387.793934,2383436.40655,31.483332,0.1829,0.93843,0.6555653,0.41429317,3.8066158,0.3799967,5.348502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
