,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
4054,mulan,1592,371381.165778,2385363.92588,10.981693,6.3552,0.8330787,0.64152557,60.28175,3.8906078,3.2232823,4.244199,3.528626,4.3348064,3.6068702,1.864485,2.883667,0.81155926,,0.96634173,4716.0957,248.19817,837.93604,,0.43235728,-0.64152557,1.4746042
4055,mulan,1593,371091.165778,2385363.42588,9.538293,6.108911,0.81021595,0.6234637,56.226887,2.9808307,2.6973293,3.3769968,3.0652819,3.4962726,3.1760633,1.7876778,2.6301827,0.78521174,,0.9398193,,237.64,725.63745,,0.42208776,-0.6234637,1.4336796
4056,mulan,1597,371412.165778,2385360.92588,11.41866,6.090615,0.838952,0.64218134,60.445316,3.6963906,3.2538462,3.8917198,3.4307692,4.14862,3.6634614,1.8845634,2.956477,0.8402166,,0.97315437,4711.5947,251.58868,817.72833,,0.44329208,-0.64218134,1.4811333
4057,mulan,1598,371426.665778,2385360.92588,11.245863,6.305195,0.8366795,0.64006203,60.21768,3.5051441,3.1944444,3.6934156,3.369732,3.9320989,3.591954,1.8767755,2.9278839,0.812369,227.49434,0.9705183,,247.97426,812.26556,227.49434,0.43266958,-0.64006203,1.4767416
4058,mulan,1600,371335.165778,2385357.42588,8.662651,5.157821,0.79301745,0.6052093,55.010494,2.9280424,2.4985862,3.231746,2.769086,3.341799,2.8671064,1.7313346,2.4650793,0.70005375,,0.91986966,,264.00113,740.3298,,0.3874307,-0.6052093,1.3982267
4059,mulan,1601,371504.665778,2385357.42588,7.4220533,4.624133,0.76252824,0.55817205,50.75254,2.4586694,2.0993676,2.7116935,2.3261065,2.970766,2.5582657,1.6342841,2.212916,0.6929525,77.37449,0.8845008,3869.226,257.80957,706.4295,77.37449,0.3844367,-0.55817205,1.3207003
4060,mulan,1602,371359.165778,2385356.92588,9.195474,6.052548,0.8038345,0.61277515,56.58333,3.2340648,2.776328,3.4670846,2.9841566,3.5903866,3.0941286,1.7666419,2.5666718,0.81846416,,0.9324179,,256.2368,771.6803,,0.43501422,-0.61277515,1.4166096
4061,mulan,1603,371439.165778,2385356.92588,9.865801,5.969984,0.81593627,0.60719323,57.81068,3.050308,2.5412927,3.2679672,2.731598,3.4537988,2.8940754,1.8066975,2.6895964,0.7844268,,0.9464559,,259.96667,756.1158,,0.4217786,-0.60719323,1.4231294
4062,mulan,1604,371286.165778,2385356.42588,8.062124,5.1099854,0.77930117,0.5882353,52.404747,2.6318512,2.36721,2.811789,2.5340364,2.9813857,2.6912751,1.6872224,2.3459587,0.59528124,,0.9039574,,263.64377,684.76825,,0.34155896,-0.5882353,1.3675365
4063,mulan,1606,371099.165778,2385355.92588,9.655629,6.0188384,0.8123058,0.6137244,56.436256,3.219163,2.6590257,3.5539649,2.9493792,3.8072686,3.1690545,1.7946066,2.6516066,0.78604007,,0.94224346,,241.13539,732.2085,,0.4224138,-0.6137244,1.4260302
