,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
29,baigurang,3871,373258.685,2381858.692,0.073700003,0.076899998,0.072800003,0.053300001,0.0241,0.187399998,0.337900013,0.341100007,14.020747,0.3138,0.8668508,0.6454833,0.5215533,3.6414833,0.56206745,3.3596199,0.6417333,0.69733334,0.56499624,1.0915855,0.6417333,0.77210397,-0.6454833,1.5123341
30,baigurang,3872,373266.9863,2381869.739,0.077699997,0.073299997,0.059999999,0.0438,0.020099999,0.151999995,0.309399992,0.290699989,15.393035,0.2893,0.877997,0.67514884,0.50398856,4.1566668,0.5327259,3.5548615,0.6067972,0.685573,0.53276247,0.85830843,0.6067973,0.7664149,-0.67514884,1.5531459
31,baigurang,3873,373266.0933,2381883.2,0.080799997,0.085199997,0.080700003,0.062199999,0.038600001,0.189700007,0.293300003,0.303900003,7.5984454,0.2547,0.76739985,0.56844914,0.4421049,2.6344485,0.45943543,2.2502546,0.48546332,0.6006343,0.44699827,0.63544595,0.48546332,0.6618485,-0.56844914,1.335849
32,baigurang,3874,373264.5058,2381897.289,0.078500003,0.081500001,0.078599997,0.058699999,0.0305,0.201700002,0.351700008,0.336299986,11.531148,0.3212,0.8403977,0.63467354,0.5195534,3.474555,0.5635483,2.9749544,0.6226655,0.6871856,0.5636152,0.96935046,0.6226655,0.73729545,-0.63467354,1.4750712
33,baigurang,3876,373286.0363,2381908.699,0.078500003,0.074199997,0.072099999,0.057500001,0.028899999,0.186700001,0.314500004,0.315899998,10.882354,0.2856,0.83168316,0.6270046,0.48736918,3.3619976,0.5159481,2.8668778,0.56620914,0.6581168,0.5108387,0.8713529,0.5662091,0.73191094,-0.6270046,1.4586878
34,baigurang,3878,373278.564,2381899.283,0.080799997,0.080600001,0.082800001,0.059799999,0.0297,0.216100007,0.363400012,0.350699991,12.235691,0.3337,0.84889334,0.62886596,0.5322365,3.3888888,0.58148855,3.0883498,0.65295976,0.69985896,0.5840086,1.1622834,0.65295964,0.7583401,-0.62886596,1.4777594
35,baigurang,3879,373191.9856,2381811.832,0.079300001,0.075999998,0.077799998,0.056899998,0.028100001,0.185100004,0.34009999,0.314700007,12.103202,0.31199998,0.8473655,0.62766206,0.514177,3.3714652,0.55415833,3.0673232,0.6220646,0.6851949,0.5541489,0.89282763,0.6220646,0.73639774,-0.62766206,1.4750276
36,baigurang,3881,373175.9915,2381799.323,0.080799997,0.082400002,0.079300001,0.060400002,0.036200002,0.192699999,0.335700005,0.336299986,9.27348,0.2995,0.80532396,0.6178313,0.4911156,3.2332911,0.52633244,2.5812461,0.5617127,0.6531678,0.52043104,0.71235114,0.5617127,0.6837047,-0.6178313,1.4231553
37,baigurang,3882,373187.0114,2381784.163,0.079999998,0.0779,0.072099999,0.055100001,0.024900001,0.185100004,0.287499994,0.337500006,11.546185,0.2626,0.84058905,0.59899884,0.46982837,2.9875174,0.4872853,2.977416,0.5525298,0.6448265,0.47935027,1.022882,0.55252975,0.76285714,-0.59899884,1.4395878
38,baigurang,3883,373196.457,2381791.307,0.083999999,0.0779,0.070699997,0.055100001,0.028100001,0.163299993,0.298400015,0.272799999,10.619217,0.2703,0.8278713,0.61690605,0.47304714,3.2206511,0.4947505,2.8219628,0.54371434,0.6444974,0.48720452,0.6780727,0.5437143,0.7063741,-0.61690605,1.4447774
39,baigurang,3884,373199.9892,2381779.202,0.082400002,0.0788,0.073600002,0.0557,0.024900001,0.193399996,0.342999995,0.332700014,13.7751,0.3181,0.8646372,0.6466635,0.5244436,3.660326,0.5669181,3.3235261,0.6442625,0.69898844,0.57014656,1.1226519,0.6442625,0.77187353,-0.6466635,1.5113007
40,baigurang,3885,373208.9189,2381772.256,0.086400002,0.0788,0.077799998,0.058699999,0.0297,0.214599997,0.346599996,0.37470001,11.670033,0.31689999,0.8421472,0.63336474,0.51660085,3.4550128,0.5587567,2.9976223,0.61965024,0.68544465,0.5586215,1.1383194,0.61965024,0.7568563,-0.63336474,1.4755119
41,baigurang,3886,373191.0992,2381763.168,0.079999998,0.0779,0.07,0.052099999,0.0241,0.1708,0.316700011,0.302700013,13.141079,0.2926,0.8585681,0.6379623,0.5012155,3.5242858,0.53217804,3.2286131,0.6030594,0.6777476,0.53069496,0.89680624,0.6030594,0.75269365,-0.6379623,1.4965303
42,baigurang,3887,373210.6046,2381787.585,0.083999999,0.0788,0.077100001,0.0616,0.0297,0.208499998,0.362699986,0.368699998,12.212121,0.33299997,0.8486238,0.64938605,0.5315935,3.70428,0.580552,3.0846188,0.6416598,0.69927585,0.5829656,1.0707213,0.6416598,0.7506297,-0.64938605,1.4980099
43,baigurang,3888,373223.0929,2381794.728,0.084799998,0.075999998,0.071400002,0.057500001,0.022500001,0.194999993,0.343699992,0.362699986,15.275555,0.32119998,0.87711626,0.65598655,0.53078216,3.8137255,0.5745152,3.5385478,0.66199124,0.70808053,0.58020484,1.2807598,0.6619912,0.7931034,-0.65598655,1.5331028
44,baigurang,3889,373224.5217,2381780.758,0.079999998,0.081500001,0.079300001,0.059799999,0.0273,0.200200006,0.362699986,0.357899994,13.285713,0.3354,0.86,0.6411765,0.5370698,3.57377,0.58709437,3.2504945,0.6642208,0.7073891,0.591681,1.0906135,0.66422075,0.76,-0.6411765,1.5011766
45,baigurang,3893,373252.5676,2381811.027,0.079300001,0.079700001,0.074299999,0.052700002,0.032900002,0.205500007,0.382400006,0.367500007,11.6231,0.3495,0.8415603,0.67462236,0.54233325,4.146703,0.59790194,2.9899797,0.6408044,0.70471054,0.60021245,0.91419387,0.6408043,0.72399324,-0.67462236,1.5161827
46,baigurang,3894,373248.5988,2381797.057,0.080799997,0.083400004,0.076399997,0.056299999,0.032099999,0.217600003,0.395599991,0.379500002,12.323987,0.3635,0.8498948,0.67627114,0.5558208,4.1780105,0.61708903,3.102289,0.6676847,0.7174749,0.6215575,1.0660367,0.66768473,0.74289143,-0.67627114,1.526166
47,baigurang,3896,373389.4588,2381994.342,0.079999998,0.080600001,0.077799998,0.058699999,0.0297,0.195700005,0.312299997,0.332700014,10.515151,0.2826,0.8263157,0.60112786,0.48323575,3.0141387,0.5106318,2.8040185,0.56746197,0.6530199,0.504678,0.9384376,0.5674619,0.73646855,-0.60112786,1.4274435
48,baigurang,3897,373384.0679,2381985.114,0.080799997,0.074199997,0.074299999,0.0557,0.032900002,0.195700005,0.337099999,0.362699986,10.2462,0.3042,0.82216215,0.6387944,0.5001017,3.537012,0.53705347,2.75715,0.5766158,0.6657962,0.53323084,0.8239624,0.5766157,0.71216094,-0.6387944,1.4609566
49,baigurang,3898,373392.4738,2381978.584,0.079300001,0.084299996,0.079300001,0.058699999,0.035300002,0.215299994,0.388300002,0.410600007,11,0.353,0.83333325,0.66082126,0.5423713,3.896595,0.59910923,2.8867514,0.6409915,0.70164484,0.6000694,0.93195003,0.6409914,0.71827614,-0.66082126,1.4941545
50,baigurang,3899,373402.4609,2381979.22,0.079999998,0.081500001,0.073600002,0.059300002,0.028100001,0.201700002,0.356099993,0.381900012,12.672597,0.32799998,0.853722,0.6574354,0.52916986,3.838315,0.5760287,3.156763,0.6379697,0.6991547,0.57877845,1.0621909,0.6379695,0.7554395,-0.6574354,1.5111574
51,baigurang,3900,373396.0426,2381968.165,0.078500003,0.075999998,0.075000003,0.058699999,0.032900002,0.209999993,0.370700002,0.383100003,11.267477,0.3378,0.8369673,0.6634508,0.5317213,3.9426665,0.58255035,2.9314744,0.62605375,0.69525903,0.58343965,0.95808494,0.6260537,0.7291066,-0.6634508,1.5004181
52,baigurang,3901,373387.0602,2381959.676,0.079999998,0.076899998,0.068599999,0.052099999,0.0297,0.199499995,0.364199996,0.34830001,12.262627,0.33449998,0.84920025,0.6829945,0.5329704,4.3090377,0.58255774,3.0926082,0.6284232,0.7005235,0.5851989,0.9647202,0.62842315,0.7408377,-0.6829945,1.5321947
53,baigurang,3902,373402.0727,2381937.176,0.078500003,0.076899998,0.072099999,0.059799999,0.028100001,0.203999996,0.344399989,0.366299987,12.2562275,0.31629997,0.8491275,0.6537816,0.51824605,3.776699,0.56008464,3.091597,0.6180022,0.689029,0.56083095,1.0854832,0.618002,0.757863,-0.6537816,1.5029091
54,baigurang,3904,373380.9859,2381942.661,0.0832,0.074199997,0.072099999,0.052700002,0.0273,0.224399999,0.391200006,0.4023,14.329671,0.3639,0.8695341,0.6887547,0.56251526,4.4257975,0.62451947,3.4044974,0.6905083,0.7296871,0.6334454,1.3697442,0.6905082,0.78307515,-0.6887547,1.5582888
55,baigurang,3905,373409.0539,2381920.194,0.087200001,0.076899998,0.0757,0.061000001,0.031300001,0.209999993,0.3759,0.409500003,12.009584,0.3446,0.84626716,0.66474754,0.5400219,3.965654,0.59372026,3.0523844,0.645812,0.70475316,0.59661365,1.0187348,0.645812,0.7405719,-0.66474754,1.5110147
56,baigurang,3906,373170.4446,2381785.177,0.083999999,0.084299996,0.0836,0.065800004,0.035300002,0.219099998,0.361999989,0.391499996,10.254957,0.32669997,0.82230043,0.62477565,0.51831025,3.3301435,0.56455284,2.7586875,0.6127752,0.6800143,0.5625939,0.97260535,0.61277515,0.72248423,-0.62477565,1.4470761
57,baigurang,3907,373214.482,2381727.608,0.085600004,0.081500001,0.075000003,0.055100001,0.028899999,0.166299999,0.280900002,0.259600013,9.719724,0.252,0.81342804,0.5785333,0.45275143,2.7453332,0.46657678,2.6632438,0.5173049,0.6222222,0.4556235,0.6855703,0.5173049,0.7038935,-0.5785333,1.3919613
58,baigurang,3909,373233.0147,2381714.716,0.079999998,0.079700001,0.079300001,0.057500001,0.031300001,0.212300003,0.3671,0.34830001,11.728435,0.3358,0.8428714,0.6447133,0.5320115,3.6292558,0.5820887,3.0071068,0.64004296,0.6975787,0.58379376,1.0472561,0.64004284,0.7430213,-0.6447133,1.4875847
59,baigurang,3910,373228.4374,2381699.686,0.082400002,0.081500001,0.072800003,0.0557,0.0305,0.207800001,0.353199989,0.385500014,11.580327,0.3227,0.84102166,0.65821594,0.5209584,3.8516479,0.5655847,2.982999,0.6143629,0.68849,0.5658845,1.0240113,0.614363,0.74402016,-0.65821594,1.4992375
60,baigurang,3911,373250.4244,2381697.153,0.082400002,0.076899998,0.078599997,0.056299999,0.025699999,0.225099996,0.386099994,0.363900006,15.023347,0.3604,0.8751821,0.6617173,0.5616188,3.9122138,0.6223321,3.5032816,0.7086687,0.73113674,0.63238126,1.4898641,0.7086686,0.79505587,-0.6617173,1.5368993
61,baigurang,3914,373242.5115,2381675.185,0.079999998,0.080600001,0.077100001,0.059300002,0.028899999,0.214599997,0.389699996,0.419,13.484429,0.3608,0.8619207,0.66966575,0.5576567,4.0544744,0.61820626,3.2803335,0.68494487,0.723346,0.62518895,1.1747308,0.6849449,0.7626284,-0.66966575,1.5315864
62,baigurang,3916,373258.7834,2381654.68,0.079300001,0.084299996,0.076399997,0.0557,0.0337,0.207000002,0.359100014,0.332700014,10.6557865,0.32540002,0.82841146,0.64913887,0.51919657,3.700262,0.5649384,2.828244,0.6067934,0.68282205,0.56371427,0.90404326,0.60679346,0.71998334,-0.64913887,1.4775503
63,baigurang,3917,373273.1371,2381642.708,0.076899998,0.0779,0.074299999,0.049800001,0.022500001,0.194199994,0.383899987,0.380699992,17.062222,0.36139998,0.8892716,0.6756875,0.5669063,4.166891,0.62834686,3.7793756,0.72594935,0.74015534,0.6420752,1.2749877,0.7259493,0.7923397,-0.6756875,1.564959
64,baigurang,3920,373284.2805,2381656.755,0.081600003,0.076899998,0.078599997,0.056899998,0.0337,0.212300003,0.377999991,0.430999994,11.216617,0.3443,0.83628863,0.6557162,0.536595,3.8091602,0.5900074,2.923019,0.6368632,0.6985972,0.5911481,0.9566729,0.6368632,0.7260162,-0.6557162,1.4920049
65,baigurang,3921,373334.816,2381638.234,0.084799998,0.0788,0.079999998,0.062799998,0.0305,0.194199994,0.306400001,0.312299997,10.045901,0.2759,0.8189374,0.58592135,0.47533655,2.8300002,0.49996376,2.721769,0.55652404,0.64408135,0.49258327,0.89688563,0.55652404,0.72852695,-0.58592135,1.4048588
66,baigurang,3922,373342.489,2381621.83,0.0832,0.081500001,0.078599997,0.060400002,0.032099999,0.211500004,0.34009999,0.354299992,10.595016,0.308,0.82751215,0.6245522,0.5048502,3.326972,0.54334784,2.817799,0.594269,0.6713266,0.54048693,1.006898,0.5942689,0.7364532,-0.6245522,1.4520643
67,baigurang,3924,373359.0255,2381624.872,0.081600003,0.080600001,0.082099997,0.067599997,0.031300001,0.229699999,0.360500008,0.409500003,11.517571,0.3292,0.84022456,0.6290104,0.5259296,3.390987,0.57327145,2.9727297,0.6357642,0.69204783,0.57403845,1.2393525,0.6357642,0.7601532,-0.6290104,1.469235
