,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
4174,mulan,1754,370941.665778,2385157.42588,7.842829,5.213277,0.773828,0.60708535,51.91573,2.475341,2.3934426,2.8027282,2.7131147,2.980063,2.8862705,1.6698309,2.3011243,0.632964,,0.89760864,3903.9436,238.00064,649.7895,,0.3584827,-0.60708535,1.3809134
4175,mulan,1755,371290.665778,2385156.92588,8.884937,5.128242,0.797672,0.5942192,54.830883,2.6755688,2.437558,2.9990108,2.7400556,3.1602373,2.8908417,1.7464598,2.5079062,0.7360631,,0.9252681,,260.6681,731.29694,,0.40236354,-0.5942192,1.3918911
4176,mulan,1756,371038.415778,2385155.92588,8.704348,5.7091503,0.7939068,0.5923643,53.043434,2.8840425,2.5619512,3.243617,2.8917074,3.437234,3.0692682,1.7341945,2.473163,0.71252286,,0.9208989,3931.15,244.13516,726.73804,,0.39264846,-0.5923643,1.3862711
4177,mulan,1757,370930.165778,2385150.92588,8.552339,5.204052,0.7906272,0.6020025,51.778538,2.622577,2.3301888,3.1094642,2.7777777,3.236032,2.89413,1.7235595,2.4435802,0.73126805,,0.91709334,,232.22102,618.9547,,0.40039885,-0.6020025,1.3926297
4178,mulan,1758,371001.665778,2385149.42588,8.632411,5.361151,0.79236764,0.5994141,55.318386,3.2820797,2.538391,3.5121682,2.7285192,3.7035398,2.8866544,1.729233,2.4592023,0.6875257,,0.9191163,4297.14,261.62442,746.7254,,0.38213763,-0.5994141,1.3917818
4179,mulan,1759,370989.165778,2385148.92588,9.440087,5.373178,0.80843073,0.60155237,55.963028,3.354143,2.5584416,3.6753688,2.8209648,3.877412,2.9860854,1.781772,2.6121304,0.73867613,,0.9377483,,258.8386,743.71796,,0.4034311,-0.60155237,1.4099832
4180,mulan,1761,370939.165778,2385146.92588,8.142858,5.131356,0.78125,0.6091954,52.291252,2.7873755,2.5294118,3.1118493,2.8317854,3.227021,2.9391124,1.6934391,2.362278,0.6698614,,0.90621763,,237.92569,660.99786,,0.37458745,-0.6091954,1.3904454
4181,mulan,1762,370957.165778,2385144.42588,9.064584,5.4729137,0.80128336,0.5972834,55.69352,3.182333,2.366454,3.5141563,2.633546,3.614949,2.7146764,1.7582667,2.5420496,0.688204,,0.92945796,4286.0,263.2587,720.1329,,0.38242552,-0.5972834,1.3985668
4182,mulan,1763,370997.165778,2385140.92588,8.713996,5.364286,0.7941115,0.59732294,54.954582,2.7762513,2.5530932,2.9519136,2.718375,3.1118743,2.8688827,1.734882,2.47503,0.64830005,,0.9211386,4233.872,261.45834,735.3691,,0.36523184,-0.59732294,1.3914344
4183,mulan,1764,370943.165778,2385135.92588,8.710638,5.40625,0.7940403,0.59423673,53.643284,2.7878788,2.358925,3.2402596,2.7600768,3.271645,2.7879078,1.7346352,2.4743803,0.7245572,,0.9210545,,253.53784,707.85254,,0.39763704,-0.59423673,1.388277
4184,mulan,1766,370998.665778,2385132.92588,9.414737,5.5762963,0.80796444,0.6103709,56.828106,2.7320197,2.500924,2.9832513,2.736599,3.1448276,2.88817,1.7802423,2.6074524,0.69696695,,0.9372084,4390.1455,261.77576,735.86414,,0.38613126,-0.6103709,1.4183353
4185,mulan,1767,371024.165778,2385127.42588,8.240585,4.9895678,0.7835635,0.5683854,52.076035,2.5391476,2.2942805,2.6769078,2.4225092,2.9177403,2.646679,1.7008374,2.3819025,0.64869076,,0.90890074,,262.92288,720.2065,,0.36540276,-0.5683854,1.351949
4186,mulan,1768,370943.665778,2385126.92588,8.947598,5.6314154,0.79894644,0.59734946,53.927406,2.727564,2.377541,3.1271367,2.7395935,3.2115386,2.8160696,1.750606,2.5198622,0.7040886,,0.92674536,,252.05919,709.9416,,0.38912457,-0.59734946,1.3962959
4187,mulan,1769,370954.165778,2385125.92588,9.036717,5.592204,0.80073166,0.60306513,54.585003,2.7748692,2.4797297,3.1068063,2.7857144,3.2052357,2.876448,1.756448,2.53678,0.68592805,,0.92881674,4117.5205,251.72725,719.2572,,0.38145897,-0.60306513,1.4037968
4188,mulan,1770,370931.665778,2385121.42588,8.331263,5.654206,0.78566676,0.6089564,52.745102,2.835359,2.5490797,3.243094,2.9263804,3.2928176,2.9723926,1.7075922,2.3999853,0.7220068,,0.9113411,3978.3887,239.66194,666.073,,0.39658365,-0.6089564,1.3946232
4189,mulan,1773,370932.165778,2385112.92588,8.150516,5.2316713,0.7814331,0.58882636,52.057755,2.627263,2.3294232,2.970181,2.6441839,3.0905218,2.7546432,1.6940211,2.363821,0.65808517,,0.9064297,,251.59679,692.4271,,0.36949685,-0.58882636,1.3702594
4190,mulan,1774,370918.165778,2385112.42588,8.658996,5.8805237,0.7929391,0.6158501,53.879032,2.7351694,2.5833333,3.1557202,2.9867885,3.2722456,3.0985773,1.7310675,2.4643695,0.74490756,,0.9197775,4056.6855,244.82211,685.1376,,0.40596837,-0.6158501,1.4087893
4191,mulan,1775,371007.665778,2385105.92588,8.777083,5.411079,0.79544,0.5817533,54.491997,2.563241,2.2369838,2.9911067,2.6256733,3.193676,2.8096948,1.7391912,2.487208,0.65071815,,0.92267895,4166.1265,268.40448,731.3504,,0.36628878,-0.5817533,1.3771933
4192,mulan,1776,370971.665778,2385104.42588,9.178494,5.2978415,0.80350727,0.60662526,55.278732,2.7071428,2.476555,2.9826531,2.7349281,3.1704082,2.9110048,1.7655524,2.56349,0.7502066,,0.93203694,,252.84084,716.927,,0.4081164,-0.60662526,1.4101325
4193,mulan,1777,371038.665778,2385104.42588,7.5432596,4.5914893,0.76589733,0.5482139,49.906895,2.1982336,1.9789762,2.3984299,2.165448,2.5613346,2.3171847,1.6448168,2.23863,0.5857944,,0.8884074,,257.0864,664.9494,,0.337221,-0.5482139,1.3141112
4194,mulan,1779,370901.665778,2385096.92588,9.603896,5.8540373,0.8113901,0.6415094,56.79151,2.9626865,2.8359134,3.3230276,3.1847265,3.511727,3.367389,1.7915735,2.6421802,0.7898822,,0.9411818,4358.3022,231.924,716.8978,,0.42392343,-0.6415094,1.4528995
4195,mulan,1780,370971.165778,2385092.92588,9.071279,5.5903616,0.8014155,0.60944766,55.546825,2.9807487,2.544762,3.2513368,2.7857144,3.3582888,2.8809524,1.7586975,2.5433145,0.69978094,,0.929611,,256.98257,724.9842,,0.38731596,-0.60944766,1.4108632
4196,mulan,1781,371000.665778,2385089.92588,9.296375,5.66311,0.80575687,0.6076696,55.99286,2.5971014,2.4990602,2.9014492,2.7951128,3.1130435,3.0009398,1.7729559,2.58551,0.6524123,,0.934647,4333.329,257.1668,739.73303,,0.36702812,-0.6076696,1.4134265
4197,mulan,1782,370917.165778,2385087.92588,8.899782,5.6535435,0.79797536,0.60605466,53.79088,2.6769724,2.4421158,3.04371,2.7854292,3.2771854,3.003992,1.7474362,2.5107431,0.731248,,0.9256188,4013.7627,251.39766,702.2036,,0.40039062,-0.60605466,1.40403
4198,mulan,1783,371127.165778,2385087.42588,9.365853,6.3732877,0.8070588,0.59939414,55.181816,2.7091787,2.6285443,2.9024155,2.8175802,3.095652,3.0066164,1.7772355,2.5984104,0.77853024,,0.9361562,,253.04611,743.719,,0.41945007,-0.59939414,1.406453
4199,mulan,1784,371184.165778,2385081.92588,10.7,6.0695915,0.82905984,0.62850225,59.48468,3.2564902,2.8165736,3.6147456,3.1378026,3.8400831,3.3398511,1.8508239,2.835821,0.79127735,,0.9616795,,256.99713,783.8191,,0.4244705,-0.62850225,1.4575621
4200,mulan,1785,370901.665778,2385078.92588,9.51634,5.941456,0.80981976,0.6268156,56.263535,3.176598,2.8473053,3.4972913,3.1427145,3.7009752,3.3303394,1.7863672,2.626157,0.7764946,,0.9393598,4297.802,240.11499,734.68445,,0.41864374,-0.6268156,1.4366354
4201,mulan,1786,371007.665778,2385076.42588,8.881988,5.838509,0.7976116,0.5992544,55.10451,2.6789632,2.432558,2.9800599,2.7134883,3.1465604,2.868837,1.7462662,2.507342,0.6930429,,0.9251984,4251.203,257.72803,748.6913,,0.38447487,-0.5992544,1.396866
4202,mulan,1787,371172.165778,2385075.42588,12.335038,6.3798075,0.85001916,0.6360244,61.378212,3.4409535,2.8201306,3.8548212,3.1761417,4.07909,3.3690586,1.92281,3.1040297,0.7772298,,0.985992,,244.44281,801.65234,,0.41893512,-0.6360244,1.4860436
4203,mulan,1788,371195.165778,2385073.42588,9.51046,6.223317,0.80971336,0.61549395,57.39263,3.131552,2.715342,3.4563208,3.0073936,3.643371,3.1756008,1.7860279,2.6250777,0.7894016,,0.9392376,4498.518,261.70038,770.0077,,0.42373484,-0.61549395,1.4252074
4204,mulan,1789,370953.165778,2385070.92588,9.322246,5.5007114,0.8062437,0.61353004,56.810154,2.645096,2.3566108,3.107179,2.7821229,3.3286147,2.9860334,1.7745682,2.59032,0.69744813,141.45746,0.93521255,,258.02554,734.80524,141.45746,0.386334,-0.61353004,1.4197737
4205,mulan,1790,370878.665778,2385069.92588,10.367117,6.0464396,0.8240539,0.62391955,58.542637,3.325683,2.7129457,3.6655738,3.0046904,3.8786886,3.1876173,1.8339037,2.7783105,0.79660237,151.71129,0.95587224,,242.21742,757.33167,151.71129,0.42655316,-0.62391955,1.4479735
