,CLASS_NAME,num,x,y,B1,B2,B3,B4,B5,B6,B7,B8
6899,water,10849,371162.119774,2384813.30544,0.09120000153779984,0.09619999676942825,0.09290000051259995,0.09780000150203705,0.06270000338554382,0.08410000056028366,0.08799999952316284,0.0
6900,water,10850,371162.318212,2384814.66143,0.09120000153779984,0.09619999676942825,0.09290000051259995,0.09780000150203705,0.06270000338554382,0.08410000056028366,0.08799999952316284,0.0
6901,water,10851,371163.806496,2384814.69451,0.09120000153779984,0.09619999676942825,0.09290000051259995,0.09780000150203705,0.06270000338554382,0.08410000056028366,0.08799999952316284,0.0
6902,water,10852,371165.989313,2384814.92602,0.09040000289678574,0.10170000046491623,0.10639999806880951,0.10610000044107437,0.09009999781847,0.055399999022483826,0.02810000069439411,0.0
6903,water,10853,371158.151016,2384824.74869,0.08320000022649765,0.0925000011920929,0.09139999747276306,0.08060000091791153,0.05299999937415123,0.15039999783039093,0.2151000052690506,0.12290000170469284
6904,water,10854,371158.018724,2384826.79922,0.09350000321865082,0.09799999743700027,0.09430000185966492,0.0989999994635582,0.06909999996423721,0.03579999879002571,0.022199999541044235,0.0
6905,water,10856,371162.053628,2384826.93151,0.09510000050067902,0.09989999979734421,0.10499999672174454,0.10670000314712524,0.0892999991774559,0.05009999871253967,0.017100000753998756,0.0
6906,water,10857,371162.715088,2384828.48594,0.08720000088214874,0.10540000349283218,0.10790000110864639,0.10849999636411667,0.0917000025510788,0.04179999977350235,0.0,0.0
6907,water,10858,371160.168468,2384828.68438,0.09189999848604202,0.09889999777078629,0.10289999842643738,0.09719999879598618,0.0843999981880188,0.058400001376867294,0.03830000013113022,0.0
6908,water,10859,371158.217162,2384828.81667,0.09189999848604202,0.10440000146627426,0.1071000024676323,0.1120000034570694,0.09009999781847,0.03959999978542328,0.0,0.0
6909,water,10860,371156.596586,2384828.61823,0.09189999848604202,0.09440000355243683,0.09070000052452087,0.0877000018954277,0.05550000071525574,0.0892999991774559,0.14720000326633453,0.0
6910,water,10861,371156.365075,2384830.63568,0.09350000321865082,0.09889999777078629,0.09709999710321426,0.10670000314712524,0.09009999781847,0.015399999916553497,0.0,0.0
6911,water,10863,371160.333833,2384834.5383,0.08799999952316284,0.10170000046491623,0.10289999842643738,0.10369999706745148,0.0851999968290329,0.0478999987244606,0.03099999949336052,0.0
6912,water,10864,371158.184089,2384832.68621,0.09120000153779984,0.09889999777078629,0.10209999978542328,0.10429999977350235,0.0843999981880188,0.051600001752376556,0.02370000071823597,0.0
6913,water,10865,371156.563513,2384834.60444,0.09510000050067902,0.09709999710321426,0.10209999978542328,0.10610000044107437,0.08839999884366989,0.051600001752376556,0.029500000178813934,0.0
6914,water,10866,371158.4156,2384834.5383,0.08959999680519104,0.09989999979734421,0.10209999978542328,0.10670000314712524,0.0860000029206276,0.055399999022483826,0.03099999949336052,0.0
6915,water,10868,371154.215331,2384844.42712,0.08720000088214874,0.10170000046491623,0.10209999978542328,0.09719999879598618,0.09009999781847,0.05090000107884407,0.011300000362098217,0.0
6916,water,10869,371152.42939,2384844.55941,0.08799999952316284,0.09440000355243683,0.1006999984383583,0.1054999977350235,0.0868000015616417,0.05689999833703041,0.03759999945759773,0.0
6917,water,10870,371152.396317,2384846.57686,0.09189999848604202,0.10440000146627426,0.10790000110864639,0.11029999703168869,0.0925000011920929,0.04259999841451645,0.0,0.0
6918,water,10871,371148.493705,2384844.95628,0.09120000153779984,0.10719999670982361,0.10360000282526016,0.10610000044107437,0.0868000015616417,0.05689999833703041,0.03539999946951866,0.0
6919,water,10874,371146.310888,2384856.33339,0.09120000153779984,0.10260000079870224,0.10499999672174454,0.10260000079870224,0.0908999964594841,0.05609999969601631,0.023000000044703484,0.0
6920,water,10877,371144.293436,2384858.84694,0.09189999848604202,0.10440000146627426,0.10570000112056732,0.10970000177621841,0.0908999964594841,0.05389999970793724,0.024399999529123306,0.0
6921,water,10879,371144.55802,2384862.55111,0.09589999914169312,0.10719999670982361,0.10930000245571136,0.11140000075101852,0.09889999777078629,0.031300000846385956,0.0,0.0
6922,water,10880,371142.441349,2384862.61726,0.08479999750852585,0.09889999777078629,0.09290000051259995,0.09309999644756317,0.06350000202655792,0.09989999979734421,0.11720000207424164,0.0
6923,water,10881,371142.573641,2384860.93054,0.08640000224113464,0.0925000011920929,0.09640000015497208,0.0835999995470047,0.056299999356269836,0.13459999859333038,0.1573999971151352,0.1216999962925911
6924,water,10882,371140.093168,2384868.60347,0.09269999712705612,0.09799999743700027,0.1071000024676323,0.11320000141859055,0.08760000020265579,0.04479999840259552,0.0142000000923872,0.0
6925,water,10883,371140.027022,2384870.81936,0.08959999680519104,0.10260000079870224,0.10639999806880951,0.11029999703168869,0.09650000184774399,0.05009999871253967,0.01269999984651804,0.0
6926,water,10884,371140.523116,2384872.47301,0.09269999712705612,0.09709999710321426,0.10570000112056732,0.10970000177621841,0.09009999781847,0.06289999932050705,0.030300000682473183,0.0
6927,water,10886,371136.190556,2384878.52536,0.08240000158548355,0.0925000011920929,0.09640000015497208,0.08829999715089798,0.06509999930858612,0.15199999511241913,0.164000004529953,0.15039999783039093
6928,water,10887,371136.157483,2384880.37745,0.08560000360012054,0.08980000019073486,0.09290000051259995,0.0835999995470047,0.05950000137090683,0.1527000069618225,0.17059999704360962,0.13609999418258667
6929,water,10888,371136.223629,2384882.32876,0.08799999952316284,0.0934000015258789,0.09790000319480896,0.09189999848604202,0.06589999794960022,0.12250000238418579,0.13330000638961792,0.08810000121593475
6930,water,10889,371138.174935,2384882.42797,0.09430000185966492,0.10170000046491623,0.11069999635219574,0.11259999871253967,0.09489999711513519,0.03350000083446503,0.0,0.0
6931,water,10891,371134.503834,2384895.128,0.08640000224113464,0.09529999643564224,0.09640000015497208,0.09480000287294388,0.06830000132322311,0.08860000222921371,0.08510000258684158,0.0
6932,water,10895,371134.007739,2384900.58504,0.08720000088214874,0.09619999676942825,0.10570000112056732,0.10610000044107437,0.0908999964594841,0.058400001376867294,0.034699998795986176,0.0
6933,water,10896,371134.140031,2384902.27176,0.08959999680519104,0.10080000013113022,0.10289999842643738,0.10490000247955322,0.0828000009059906,0.055399999022483826,0.022199999541044235,0.0
