,CLASS_NAME,num,x,y,Entropy,Alpha,Anisotropy,HA,H(1-A),(1-H)A,(1-H)(1-A)
62,baigurang,3916,373258.7834,2381654.68,0.6343403,20.333797,0.6799743,12.898547,-12.264207,7.4352508,-7.069591
63,baigurang,3917,373273.1371,2381642.708,0.6729675,20.65705,0.646453,13.901523,-13.228555,6.7555265,-6.428494
64,baigurang,3920,373284.2805,2381656.755,0.6724737,21.386145,0.6468978,14.38162,-13.7091465,7.004524,-6.676998
65,baigurang,3921,373334.816,2381638.234,0.6500587,18.067745,0.66663545,11.745094,-11.0950365,6.3226504,-5.972709
66,baigurang,3922,373342.489,2381621.83,0.61231965,16.688526,0.6980141,10.218713,-9.606393,6.469814,-6.0821333
67,baigurang,3924,373359.0255,2381624.872,0.5990297,16.953857,0.7085564,10.155865,-9.556835,6.797993,-6.3970227
68,baigurang,3925,373352.94,2381643.79,0.63840014,18.048061,0.6765671,11.521885,-10.883485,6.5261765,-6.1645765
69,baigurang,3926,373311.6649,2381561.108,0.67488194,16.592562,0.64472455,11.19802,-10.523138,5.3945417,-5.0694237
70,baigurang,3927,373274.7555,2381597.62,0.79707885,25.253927,0.51754105,20.129372,-19.332293,5.124556,-4.9216347
71,baigurang,3928,373330.8826,2381662.576,0.7446377,22.113209,0.57668644,16.46633,-15.721692,5.646879,-5.391517
72,baigurang,3929,373389.4852,2381563.478,0.7761514,25.355057,0.54212856,19.679363,-18.903212,5.6756935,-5.4518447
73,baigurang,3930,373410.2286,2381554.588,0.77639335,22.75564,0.5418523,17.667328,-16.890934,5.088312,-4.8647056
74,baigurang,3931,373393.1894,2381535.75,0.70169175,22.31743,0.6197893,15.659957,-14.958265,6.6574736,-6.3591657
75,baigurang,3932,373373.5044,2381519.981,0.6629337,20.820652,0.6554049,13.802712,-13.139778,7.01794,-6.680874
76,baigurang,3933,373428.8553,2381537.02,0.65167654,16.330437,0.6652396,10.642162,-9.990486,5.6882744,-5.339951
77,baigurang,3934,373439.0153,2381594.699,0.7151821,20.028458,0.60669523,14.323995,-13.608812,5.7044625,-5.419645
78,baigurang,3935,373440.9203,2381622.216,0.73088557,19.166504,0.5909508,14.008521,-13.277636,5.157983,-4.8888683
79,baigurang,3936,373452.8795,2381675.344,0.5763801,14.440867,0.7259606,8.323428,-7.7470484,6.1174393,-5.693819
80,baigurang,3937,373474.1521,2381654.284,0.66863084,16.496513,0.6503441,11.030078,-10.361446,5.466436,-5.1350665
81,baigurang,3938,373495.4246,2381680.954,0.54774815,12.338418,0.747009,6.7583456,-6.2105975,5.5800724,-5.1278205
82,baigurang,3939,373439.5445,2381726.039,0.67569524,19.203693,0.6439882,12.975844,-12.300149,6.227849,-5.9035444
83,baigurang,3940,373425.4686,2381763.504,0.6075771,16.817162,0.7018051,10.217722,-9.610145,6.5994396,-6.2070165
84,baigurang,3941,373449.7045,2381776.839,0.6580926,18.456944,0.6596608,12.1463785,-11.488286,6.3105655,-5.968658
85,baigurang,3943,373481.2429,2381745.406,0.70196867,22.013683,0.61952436,15.452916,-14.750947,6.560767,-6.262736
86,baigurang,3944,373507.1721,2381764.562,0.62559325,17.654562,0.68722796,11.044575,-10.418982,6.6099873,-6.2355804
87,baigurang,3946,373510.6646,2381733.976,0.6221193,16.802614,0.6900763,10.453231,-9.831111,6.3493834,-5.971503
88,baigurang,3949,373412.2968,2381462.705,0.654001,16.965187,0.66322654,11.095249,-10.441248,5.869938,-5.5239387
89,baigurang,3950,373422.4568,2381475.564,0.65445834,17.906874,0.66282934,11.719303,-11.064844,6.1875706,-5.842029
90,baigurang,3952,373374.9111,2381417.223,0.62159234,15.341644,0.69050676,9.536248,-8.914657,5.8053956,-5.426988
91,baigurang,3953,373404.2005,2381408.651,0.63988507,15.679761,0.67531425,10.033245,-9.39336,5.646516,-5.2864013
92,baigurang,3955,373416.9799,2381409.762,0.62300366,16.38805,0.6893529,10.209815,-9.586812,6.178235,-5.8012385
93,baigurang,3956,373427.9337,2381424.367,0.645073,17.83653,0.6709097,11.505864,-10.860791,6.3306665,-5.9757395
94,baigurang,3957,373423.568,2381434.13,0.6501476,17.149456,0.6665588,11.149678,-10.499531,5.9997783,-5.6499257
95,baigurang,3958,373437.6968,2381440.559,0.64489454,16.815258,0.67106193,10.844069,-10.199174,5.97119,-5.6160846
96,baigurang,3959,373434.9981,2381452.307,0.63570714,16.155102,0.6788301,10.269914,-9.634207,5.885188,-5.5208955
97,baigurang,3961,373479.9178,2381479.438,0.5651009,14.151173,0.7343753,7.9968405,-7.43174,6.154332,-5.719433
98,baigurang,3963,373506.6408,2381509.733,0.76191616,23.461172,0.5580805,17.875446,-17.11353,5.585726,-5.347642
99,baigurang,3965,373514.9752,2381601.014,0.72527444,19.514767,0.59664094,14.153562,-13.4282875,5.361205,-5.0864797
100,baigurang,3967,373562.9971,2381637.13,0.6666631,16.336323,0.6520985,10.890823,-10.22416,5.445499,-5.112162
101,baigurang,3970,373587.6034,2381697.984,0.6669041,20.665947,0.651884,13.782205,-13.1153,6.8837423,-6.5506463
102,baigurang,3973,373599.8272,2381571.545,0.7382641,21.48313,0.5833549,15.860223,-15.121959,5.6229067,-5.361171
103,baigurang,3974,373959.7684,2381636.487,0.5276223,14.411639,0.76120794,7.603902,-7.0762796,6.8077374,-6.3353596
104,baigurang,3976,373968.9627,2381614.989,0.61129785,16.790651,0.6988336,10.264089,-9.652791,6.526562,-6.1378603
105,baigurang,3977,373953.683,2381614.659,0.6719127,19.10232,0.6474026,12.835092,-12.163179,6.267228,-5.939141
106,baigurang,3980,373879.2159,2381612.595,0.8020068,24.00571,0.5115367,19.252743,-18.450735,4.752968,-4.5549746
107,baigurang,3981,373933.9847,2381575.13,0.76376486,27.040321,0.55604184,20.652447,-19.888681,6.387874,-6.151639
108,baigurang,3982,373964.306,2381596.561,0.72124237,19.889603,0.6006852,14.345224,-13.623981,5.5443788,-5.2656207
109,baigurang,3983,373951.7647,2381557.191,0.72023755,23.8202,0.6016874,17.156202,-16.435965,6.6639977,-6.384235
110,baigurang,3984,373895.2496,2381544.967,0.6652052,18.488035,0.6533939,12.298337,-11.633132,6.189698,-5.8549037
111,baigurang,3985,373873.9771,2381540.998,0.71016324,20.485611,0.6116118,14.548128,-13.837964,5.9374833,-5.6476464
112,baigurang,3986,373827.4632,2381536.871,0.6876472,18.955404,0.63302505,13.034631,-12.346984,5.920773,-5.6084204
113,baigurang,3988,373907.9497,2381504.327,0.6411263,15.756557,0.67426443,10.101943,-9.460816,5.6546144,-5.2957406
114,baigurang,3990,373853.657,2381464.745,0.7706732,26.216108,0.5483374,20.204052,-19.43338,6.012056,-5.782729
115,baigurang,3994,373765.5788,2381375.87,0.72809917,20.28009,0.5937856,14.765917,-14.037818,5.5141735,-5.2422724
116,baigurang,3995,373751.8205,2381347.824,0.6731075,17.768135,0.6463269,11.959865,-11.286757,5.80827,-5.4813776
117,baigurang,3996,373770.3414,2381338.96,0.63766044,17.397842,0.67718977,11.093916,-10.456256,6.3039265,-5.941587
118,baigurang,3997,373716.3662,2381332.743,0.7358941,23.07982,0.585809,16.984303,-16.24841,6.095517,-5.8314114
119,baigurang,3998,373694.6704,2381328.377,0.82985854,26.889576,0.4758539,22.314545,-21.484686,4.5750318,-4.40489
120,baigurang,3999,373665.5661,2381303.374,0.7211094,20.705154,0.600818,14.930681,-14.209572,5.774473,-5.4955826
121,baigurang,4000,373675.7526,2381270.169,0.69906837,20.646683,0.62229156,14.433443,-13.734374,6.21324,-5.912308
122,baigurang,4001,373715.0433,2381283.001,0.7557819,24.561314,0.56477726,18.562996,-17.807215,5.9983177,-5.7540994
123,baigurang,4002,373685.9391,2381225.586,0.76939154,22.966595,0.5497772,17.670303,-16.900911,5.296291,-5.0656824
124,baigurang,4003,373659.7453,2381218.046,0.83273697,25.189411,0.47198066,20.976154,-20.143417,4.2132573,-4.0459943
125,baigurang,4004,373654.7182,2381191.587,0.7922013,23.027185,0.5234006,18.242167,-17.449965,4.78502,-4.577221
126,baigurang,4006,373613.84,2381148.989,0.8241715,26.72873,0.48339832,22.029057,-21.204885,4.6996727,-4.5238442
127,baigurang,4007,373565.6857,2381161.292,0.71914786,21.592218,0.6027715,15.527998,-14.80885,6.064221,-5.7833686
128,baigurang,4008,373541.344,2381173.463,0.725334,19.76008,0.5965809,14.332658,-13.607324,5.4274225,-5.152756
129,baigurang,4011,373500.3335,2381129.41,0.6896826,19.729347,0.631131,13.606988,-12.917305,6.1223598,-5.812042
130,baigurang,4012,373533.0096,2381134.966,0.67442745,21.894545,0.64513546,14.766282,-14.091854,7.1282625,-6.80269
131,baigurang,4013,373561.1878,2381115.916,0.6546337,17.843285,0.662677,11.680816,-11.026182,6.1624694,-5.817103
132,baigurang,4016,373480.2251,2381157.059,0.55414677,17.297321,0.7423936,9.585255,-9.031108,7.7120667,-7.2662134
133,baigurang,4017,373532.6128,2381192.513,0.7837474,24.038744,0.5333678,18.840303,-18.056555,5.1984415,-4.9821887
134,baigurang,4018,373485.3845,2381222.94,0.7145356,19.46488,0.60733163,13.90835,-13.193814,5.5565305,-5.271066
135,baigurang,4019,373492.1314,2381249.531,0.692845,17.885027,0.62817216,12.391551,-11.698707,5.493476,-5.186321
136,baigurang,4020,373463.4241,2381227.968,0.75196683,22.097795,0.5688908,16.61681,-15.864842,5.480986,-5.232953
137,baigurang,4021,373449.4011,2381258.924,0.7836133,23.129238,0.533524,18.12438,-17.340765,5.004859,-4.788472
138,baigurang,4022,373456.4126,2381281.81,0.6524787,19.690197,0.66454595,12.847434,-12.194955,6.842763,-6.4952416
139,baigurang,4023,373475.8595,2381288.425,0.64321285,20.401506,0.67249393,13.122511,-12.479299,7.278995,-6.9222083
140,baigurang,4024,373444.374,2381302.448,0.6469278,19.623785,0.66932434,12.695171,-12.0482435,6.9286137,-6.575541
141,baigurang,4026,373586.6375,2381109.616,0.7712976,22.73684,0.5476343,17.53687,-16.765572,5.1999702,-4.9712677
142,baigurang,4028,373562.3321,2381191.736,0.7248083,19.08483,0.5971104,13.832842,-13.108034,5.251987,-4.976795
143,baigurang,4029,373604.6656,2381164.616,0.7692791,21.93518,0.5499033,16.874277,-16.104998,5.060904,-4.830183
144,baigurang,4030,373646.6021,2381204.965,0.8203547,23.977018,0.48838368,19.66966,-18.849304,4.3073587,-4.127713
145,baigurang,4031,373662.3448,2381232.217,0.7853288,23.143814,0.531521,18.175505,-17.390175,4.9683104,-4.753639
146,baigurang,4032,373684.0407,2381209.728,0.81248075,25.186478,0.49847966,20.463528,-19.651047,4.7229495,-4.5354304
147,baigurang,4033,373705.7366,2381200.467,0.82356,25.746634,0.4842012,21.203897,-20.380337,4.542736,-4.366296
148,baigurang,4034,373431.7115,2381334.558,0.65047747,15.928322,0.66627455,10.361014,-9.710537,5.5673075,-5.217785
149,baigurang,4035,373603.6857,2380984.985,0.7380887,19.55321,0.583537,14.432003,-13.693914,5.121206,-4.859295
150,baigurang,4037,373615.5391,2380938.418,0.6255174,16.402924,0.6872903,10.260315,-9.634797,6.142609,-5.7681265
151,baigurang,4038,373665.4925,2380984.35,0.6843588,19.846289,0.6360683,13.581982,-12.897623,6.264307,-5.9486656
152,baigurang,4039,373654.2741,2381014.195,0.74727875,21.32094,0.57389325,15.932686,-15.185407,5.3882546,-5.1355333
153,baigurang,4041,373679.6742,2381027.107,0.6662113,17.083712,0.6525004,11.381362,-10.715151,5.7023497,-5.3685613
154,baigurang,4042,373698.9359,2381004.247,0.6297728,15.8290615,0.68377674,9.968712,-9.33894,5.860349,-5.4901223
155,baigurang,4043,373699.7826,2381046.58,0.66797084,16.69552,0.6509333,11.152121,-10.48415,5.5434,-5.2113705
156,baigurang,4045,373677.3459,2380954.082,0.7484255,20.154995,0.5726749,15.084512,-14.336086,5.070483,-4.8189087
157,baigurang,4046,373721.7959,2380984.562,0.7142273,18.641861,0.6076348,13.314527,-12.600299,5.3273344,-5.041562
158,baigurang,4048,373728.146,2381100.343,0.49869597,12.869149,0.78080815,6.417793,-5.919097,6.4513564,-5.9500523
159,baigurang,4049,373768.5744,2381065.842,0.59964234,18.000507,0.70807594,10.793866,-10.194224,7.206641,-6.8062835
160,baigurang,4050,373749.736,2381051.025,0.657677,20.723286,0.6600243,13.629229,-12.971551,7.0940576,-6.7517343
161,baigurang,4051,373816.4111,2381111.774,0.6769418,16.810051,0.6428572,11.379426,-10.702484,5.4306245,-5.1075664
162,baigurang,4053,373795.4561,2381165.325,0.7151828,18.980927,0.6066946,13.574832,-12.859649,5.4060946,-5.1212773
163,baigurang,4054,373781.9094,2381206.812,0.71437824,18.55307,0.6074864,13.253909,-12.539532,5.2991605,-5.013539
164,baigurang,4055,373825.7245,2381179.084,0.6389678,19.05102,0.6760886,12.172988,-11.53402,6.8780313,-6.5169992
165,baigurang,4056,373870.8096,2381175.909,0.75396025,24.345417,0.5667463,18.355476,-17.601517,5.98994,-5.7439003
166,baigurang,4058,373858.1096,2381149.239,0.7149495,19.651592,0.60692436,14.049896,-13.334947,5.6016965,-5.316646
167,baigurang,4059,373839.9062,2381124.897,0.708166,19.650715,0.6135533,13.915968,-13.207802,5.7347465,-5.4429126
168,baigurang,4060,373891.553,2381152.837,0.7291367,20.733934,0.5927321,15.117872,-14.388736,5.6160617,-5.3451986
169,baigurang,4061,373890.0713,2381091.03,0.8522128,30.376364,0.4447235,25.887125,-25.034912,4.4892383,-4.341451
170,baigurang,4062,373858.1096,2381075.367,0.75960916,21.443348,0.5606111,16.288563,-15.5289545,5.154784,-4.9143934
171,baigurang,4063,373867.8462,2381047.427,0.71100444,19.270763,0.6107915,13.701598,-12.990594,5.569165,-5.2801695
172,baigurang,4064,373881.1813,2381014.407,0.7421671,22.459188,0.57928336,16.66847,-15.926304,5.790717,-5.5328846
173,baigurang,4065,373847.9495,2381005.305,0.722954,23.356071,0.5989729,16.885365,-16.16241,6.470707,-6.1936607
174,baigurang,4066,373871.6562,2380971.438,0.8164577,27.891771,0.49341163,22.772451,-21.955994,5.1193204,-4.9357777
175,baigurang,4067,373901.2896,2380947.943,0.7177571,22.259731,0.6041515,15.97708,-15.259323,6.282651,-6.000408
176,baigurang,4069,373937.4847,2380949.213,0.5952097,16.978697,0.71154064,10.1058855,-9.510675,6.8728113,-6.4680214
177,baigurang,4070,373902.1363,2380906.88,0.73710245,23.360348,0.58455944,17.21897,-16.481867,6.1413784,-5.8784804
178,baigurang,4071,373867.8462,2380902.646,0.79361653,22.30458,0.52170885,17.701284,-16.907667,4.6032968,-4.396913
179,baigurang,4072,373921.1863,2380886.348,0.68088156,18.814302,0.6392639,12.810311,-12.12943,6.0039907,-5.6848726
180,baigurang,4073,373946.7981,2380883.385,0.7103562,19.50466,0.61142373,13.855255,-13.144899,5.649404,-5.3597603
181,baigurang,4074,373942.3531,2380844.65,0.6750315,18.272469,0.64458925,12.334492,-11.65946,5.937977,-5.6130085
182,baigurang,4075,373838.2128,2380839.358,0.8319127,25.814104,0.47309366,21.47508,-20.643167,4.339023,-4.1709356
183,baigurang,4076,373952.0897,2380816.498,0.6778849,18.169022,0.6419997,12.316505,-11.63862,5.8525167,-5.5304017
184,baigurang,4077,373930.288,2380754.056,0.6960479,18.891718,0.6251553,13.149541,-12.453493,5.7421775,-5.4382253
185,baigurang,4078,373979.8181,2380759.771,0.68645597,20.165266,0.6341298,13.842567,-13.156111,6.322699,-6.009155
186,baigurang,4080,373906.5813,2380715.109,0.7076086,18.617968,0.6140936,13.174233,-12.466625,5.443734,-5.1513424
187,baigurang,4081,373965.6364,2380710.876,0.6855583,17.10221,0.63496053,11.724562,-11.039003,5.3776474,-5.0632057
188,baigurang,4084,373857.8979,2380667.484,0.70771015,19.003597,0.6139952,13.4490385,-12.741328,5.5545588,-5.262269
189,baigurang,4085,373879.9113,2380632.136,0.7577557,21.528133,0.5626337,16.313066,-15.55531,5.215068,-4.972823
