,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,advanced1,advanced5,advanced10,higher3,higher5,higher6,higher7,higher8,simple2,simple4,simple5,simple6,simple7
6039,tonghuashu,9722,371879.018,2385724.403,0.081500001,0.072099999,0.0557,0.032900002,0.158700004,0.284500003,48.166206,154.8812,0.97842544,21.053692,0.00043653,2424.3623,0.000388538,2046.5956,7.016836,0.33702943,25.67313,2278.0042,84824.38
6040,tonghuashu,9723,371915.1337,2385729.999,0.081500001,0.069300003,0.056299999,0.038600001,0.164000005,0.272100002,49.495846,173.98608,0.98268896,20.972603,0.00042549,2483.2808,0.000388049,2148.291,7.095144,0.3215654,35.756233,2300.5676,85456.6
6041,tonghuashu,9724,371917.1975,2385730.356,0.074199997,0.071400002,0.054499999,0.0297,0.159500003,0.271400005,49.299168,166.38991,0.9829319,21.287672,0.000426715,2478.5068,0.000385736,2131.2957,7.11019,0.3163376,35.92244,2282.3103,82845.94
6042,tonghuashu,9725,371919.4597,2385730.356,0.0788,0.064300001,0.0515,0.0233,0.112000003,0.199000001,49.1205,157.94469,0.9840166,21.955933,0.000426346,2474.217,0.000386113,2140.0461,7.1512275,0.3095011,35.39889,2223.6409,79296.73
6043,tonghuashu,9726,371929.2228,2385734.722,0.073299997,0.062799998,0.052099999,0.025699999,0.155699998,0.235599995,48.990303,148.48439,0.98330945,21.3,0.000430091,2473.9866,0.000389321,2114.059,7.240311,0.30879086,44.141273,2095.2388,74134.3
6044,tonghuashu,9727,371927.1591,2385734.682,0.081500001,0.069300003,0.058699999,0.032099999,0.122500002,0.200499997,49.372578,161.58603,0.9823714,20.4471,0.000428293,2487.9897,0.000385622,2106.173,7.164104,0.3165439,44.390583,2154.6252,78606.11
6045,tonghuashu,9728,371926.8812,2385736.548,0.086999997,0.076399997,0.067000002,0.0418,0.180600002,0.223900005,50.177284,180.38397,0.9790354,20.116608,0.000420375,2546.166,0.000378168,2137.659,6.996248,0.33685017,53.174515,2156.295,80517.26
6046,tonghuashu,9729,371945.2963,2385734.404,0.080600001,0.068599999,0.056899998,0.031300001,0.174600005,0.277999997,47.36011,71.01037,0.98725754,22.501577,0.00043973,2394.9873,0.000401849,2164.896,7.3714533,0.27885017,42.38781,809.1774,26671.06
6047,tonghuashu,9730,371597.7601,2385276.645,0.064999998,0.0535,0.0385,0.0104,0.147400007,0.247299999,51.919666,330.7221,0.936696,16.9,0.000425228,2600.9458,0.000371571,2051.0686,6.0192666,0.4624817,20.531857,783.5322,137311.45
6048,tonghuashu,9731,371598.0776,2385278.868,0.0678,0.051399998,0.039099999,0.0144,0.120999999,0.222399995,51.590027,328.93988,0.94007695,16.98374,0.000427245,2587.2966,0.000374992,2072.4297,6.115679,0.45569372,20.747923,1126.8522,139158.56
6049,tonghuashu,9733,371601.5701,2385278.603,0.0669,0.057100002,0.040899999,0.016000001,0.152700007,0.279399991,50.6205,312.79788,0.9521122,17.550388,0.000433815,2538.5156,0.000381614,2059.1238,6.3972583,0.4209623,21.296398,2136.93,140523.88
6050,tonghuashu,9734,371601.4113,2385276.751,0.073299997,0.059300002,0.047400001,0.0209,0.177599996,0.320300013,50.026318,296.4432,0.9594064,17.947369,0.00043746,2506.7969,0.000386431,2051.875,6.570881,0.40128025,21.520775,2663.1348,140231.81
6051,tonghuashu,9735,371599.2418,2385276.381,0.064999998,0.057100002,0.042100001,0.0185,0.128600001,0.270599991,50.96122,316.72528,0.9497205,17.370079,0.000431953,2549.7244,0.000380111,2051.0366,6.3196282,0.43368807,21.074793,1816.1803,138317.83
6052,tonghuashu,9736,371603.2634,2385282.784,0.075099997,0.0614,0.0462,0.0217,0.158000007,0.298400015,50.987534,320.96613,0.95262676,17.742188,0.000432115,2558.3516,0.000384102,2074.3323,6.3122377,0.42139664,22.385042,1778.4075,139997.61
6053,tonghuashu,9737,371603.3163,2385284.583,0.064099997,0.051399998,0.0403,0.0128,0.151999995,0.287499994,51.756233,332.38834,0.9402755,17,0.000425732,2608.808,0.000375043,2076.5251,6.082788,0.4416045,21.833796,879.936,140002.17
6054,tonghuashu,9738,371603.3163,2385286.435,0.072400004,0.059999999,0.056899998,0.016799999,0.028200001,0.035399999,52.569252,339.10547,0.9301177,16.759657,0.000420413,2650.6008,0.000367294,2057.8794,5.85097,0.4700517,20.623268,-133.52017,141814.64
6055,tonghuashu,9739,371601.5172,2385286.647,0.096199997,0.085000001,0.096000001,0.056299999,0.031300001,0.0186,53.523544,342.81497,0.9100418,16.201836,0.000413763,2698.954,0.000358338,2058.848,5.4793897,0.5117099,19.434902,-1328.8438,148424.28
6056,tonghuashu,9740,371675.8123,2385300.564,0.068700001,0.057799999,0.050999999,0.0185,0.149700001,0.239999995,53.570637,217.26259,0.92771435,20.624,0.000391362,2690.692,0.00033946,2099.8623,5.67887,0.51512265,17.301939,803.70306,62683.71
6057,tonghuashu,9742,371677.6644,2385302.839,0.0788,0.065700002,0.052700002,0.0241,0.143700004,0.2597,54.82964,221.50441,0.8969983,18.973568,0.000382653,2761.6873,0.000327359,2105.3074,5.201793,0.56770986,14.828255,-109.12353,60272.68
6058,tonghuashu,9743,371677.929,2385300.775,0.0779,0.065700002,0.052700002,0.0273,0.146699995,0.236300007,55.221607,222.75093,0.882498,18.697248,0.000383388,2752.9036,0.000326886,2058.7173,4.968805,0.59387475,15.778394,-421.95532,61770.715
6059,tonghuashu,9744,371679.7282,2385300.775,0.0779,0.065700002,0.052700002,0.0273,0.146699995,0.236300007,55.221607,222.75093,0.882498,18.697248,0.000383388,2752.9036,0.000326886,2058.7173,4.968805,0.59387475,15.778394,-421.95532,61770.715
