,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,MSAVI,MCARI,NDWI,CMRI
4848,mulan,8805,374561.5711,2381368.857,35.47794,0.4689,0.7535889,0.8166501,4.1582065,-0.7535889,1.6987612
4849,mulan,8806,374557.5031,2381365.119,21.577778,0.463,0.7259154,0.7728731,2.527857,-0.7259154,1.6373327
4850,mulan,8807,374557.6023,2381366.674,9.580546,0.2823,0.6247422,0.49904963,0.89074475,-0.6247422,1.435716
4851,mulan,8809,374559.5536,2381365.152,40.137497,0.3131,0.7240268,0.60199916,4.004798,-0.7240268,1.6754094
4852,mulan,8810,374637.7442,2381304.793,11.832536,0.2264,0.60220283,0.42225033,1.3634883,-0.60220283,1.4463489
4853,mulan,8811,374637.6781,2381306.777,6.072539,0.0979,0.42060602,0.18692586,0.503787,-0.42060602,1.1378222
4854,mulan,8812,374637.8104,2381302.544,9.845239,0.1486,0.56185085,0.28388044,0.31060576,-0.56185085,1.3774381
4855,mulan,8813,374637.4796,2381300.758,24.548075,0.24489999,0.63811356,0.47126108,1.2969786,-0.63811356,1.5598297
4856,mulan,8814,374635.4291,2381300.625,4.474093,0.1341,0.42315614,0.2433688,0.39452827,-0.42315614,1.0577989
4857,mulan,8816,374637.5458,2381294.937,34.67763,0.5119,0.7762427,0.8506501,2.968674,-0.7762427,1.720185
4858,mulan,8817,374639.3317,2381294.937,27.583782,0.49179998,0.75451267,0.8176708,3.916604,-0.75451267,1.6845429
4859,mulan,8818,374635.6275,2381292.754,41.6,0.3248,0.694501,0.6231435,4.0475183,-0.694501,1.6475527
4860,mulan,8819,374635.6275,2381294.871,8.37811,0.1483,0.51780087,0.28089705,0.77900434,-0.51780087,1.3045382
4861,mulan,8820,374633.577,2381294.54,6.1517415,0.2071,0.5312693,0.36748782,0.63515675,-0.5312693,1.2516172
4862,mulan,8821,374633.3124,2381292.754,5.949555,0.16679999,0.52703726,0.30414122,0.45248184,-0.52703726,1.239249
4863,mulan,8823,374621.5385,2381286.867,26.87027,0.4786,0.75529665,0.80472434,3.6013644,-0.75529665,1.6835356
4864,mulan,8824,374621.4062,2381288.719,27.422886,0.5311,0.7746298,0.8442669,3.2775042,-0.7746298,1.7042639
4865,mulan,8825,374621.4062,2381290.902,20.990051,0.4018,0.73051685,0.70672655,2.1851146,-0.73051685,1.6395667
4866,mulan,8826,374619.4218,2381290.902,43.4375,0.2716,0.69512194,0.52883345,4.1466956,-0.69512194,1.650115
4867,mulan,8827,374609.8306,2381294.738,31.183825,0.41050002,0.7292559,0.7425488,3.606218,-0.7292559,1.667113
4868,mulan,8829,374613.4686,2381304.859,25.940475,0.419,0.74529433,0.74157953,3.8716202,-0.74529433,1.6710566
4869,mulan,8830,374613.5348,2381306.711,28.119318,0.4773,0.7456791,0.80721414,3.4052083,-0.7456791,1.6769962
4870,mulan,8832,374591.5743,2381310.68,14.098445,0.2528,0.63521636,0.471204,1.2849736,-0.63521636,1.5027523
4871,mulan,8833,374591.5743,2381308.695,18.034723,0.2453,0.6467977,0.4655162,1.6965432,-0.6467977,1.5417266
4872,mulan,8834,374593.4926,2381308.695,38.46154,0.3896,0.7338535,0.7245009,2.9361546,-0.7338535,1.6831713
4873,mulan,8835,374595.4108,2381308.894,44.475,0.52169997,0.7766312,0.87515736,6.8090253,-0.7766312,1.7326509
4874,mulan,8836,374595.6092,2381307.174,44.475,0.52169997,0.7766312,0.87515736,6.8090253,-0.7766312,1.7326509
4875,mulan,8837,374593.5587,2381306.711,24.10048,0.4828,0.73869526,0.799216,2.84811,-0.73869526,1.6590154
4876,mulan,8838,374317.2847,2381376.759,86.703125,0.5485,0.83468336,0.9291469,8.583142,-0.83468336,1.8118792
4877,mulan,8839,374317.2053,2381374.696,39.358334,0.4603,0.7699082,0.81492376,4.3511624,-0.7699082,1.7203522
4878,mulan,8840,374314.7446,2381374.616,339.50003,0.5416,0.8139923,0.97202224,39.64911,-0.8139923,1.8081186
4879,mulan,8841,374315.3003,2381398.667,124.06251,0.39380002,0.7539209,0.7665816,14.654514,-0.7539209,1.7379289
4880,mulan,8842,374313.3953,2381398.984,103.416664,0.4916,0.7959479,0.89835453,15.998435,-0.7959479,1.7767938
4881,mulan,8843,374313.554,2381397.159,103.416664,0.4916,0.7959479,0.89835453,15.998435,-0.7959479,1.7767938
4882,mulan,8844,374315.6178,2381397,52.653843,0.5372,0.80042744,0.8957253,6.384094,-0.80042744,1.7631514
4883,mulan,8848,374331.4134,2381393.111,41.007816,0.51210004,0.7796237,0.8629745,5.1525464,-0.7796237,1.7320136
4884,mulan,8849,374329.7466,2381397,57.48864,0.49710003,0.8038866,0.8731039,6.026499,-0.8038866,1.769692
4885,mulan,8851,374331.6516,2381398.746,43.348217,0.4743,0.75492495,0.83513314,4.849797,-0.75492495,1.7098272
4886,mulan,8852,374343.796,2381388.427,41.208332,0.38599998,0.75044245,0.72210836,4.0094433,-0.75044245,1.7030584
4887,mulan,8853,374347.7647,2381374.616,51.781246,0.48749998,0.80566657,0.8585055,4.597638,-0.80566657,1.7677743
4888,mulan,8854,374345.4628,2381375.092,47.942307,0.4882,0.7715402,0.8543712,6.0063815,-0.7715402,1.7306758
4889,mulan,8855,374345.3835,2381372.87,51.9375,0.489,0.7990258,0.86002874,5.666345,-0.7990258,1.7612454
4890,mulan,8856,374343.6372,2381372.632,137.3125,0.4362,0.80897486,0.83903915,15.534013,-0.80897486,1.7945149
4891,mulan,8857,374343.5578,2381374.854,52.46875,0.4941,0.7826933,0.8650864,6.200283,-0.7826933,1.7452884
4892,mulan,8859,374317.4434,2381389.142,213.83331,0.5108,0.80640614,0.9426709,22.502039,-0.80640614,1.7970967
4893,mulan,8861,374345.4364,2381398.773,51.011364,0.4401,0.7593572,0.806734,6.1675,-0.7593572,1.7209041
4894,mulan,8863,374339.4568,2381394.592,44.591663,0.52309996,0.7854521,0.8762539,6.227599,-0.7854521,1.7415843
4895,mulan,8864,374339.5097,2381396.921,39.841667,0.4661,0.78162843,0.8216403,5.197771,-0.78162843,1.7326589
4896,mulan,8865,374343.2932,2381342.734,48.855766,0.49769998,0.78876954,0.86365044,5.7918744,-0.78876954,1.7486539
4897,mulan,8866,374345.5951,2381342.654,39.57813,0.4938,0.7725682,0.84646404,5.5362897,-0.7725682,1.7232807
4898,mulan,8867,374345.6745,2381340.829,38.59559,0.5113,0.7754102,0.8581071,4.6117625,-0.7754102,1.7248995
4899,mulan,8868,374343.5314,2381340.829,46.410717,0.5086,0.77983224,0.86882985,5.146972,-0.77983224,1.7376477
4900,mulan,8869,374351.6276,2381338.765,75.046875,0.47390002,0.7802076,0.8654607,10.102744,-0.7802076,1.753908
4901,mulan,8871,374349.0876,2381336.701,48.135414,0.4525,0.751042,0.8184459,5.3005204,-0.751042,1.7103381
4902,mulan,8872,374357.7395,2381342.893,58.0375,0.45630002,0.7933565,0.83286756,7.6497793,-0.7933565,1.7594798
4903,mulan,8874,374359.8033,2381345.036,53.737495,0.4219,0.7629691,0.7852834,5.4109435,-0.7629691,1.7264311
4904,mulan,8875,374367.7408,2381338.527,67.625,0.4264,0.7564935,0.80121046,6.4055886,-0.7564935,1.7273496
4905,mulan,8876,374369.487,2381338.368,44.714287,0.4896,0.77242965,0.8511317,5.3796334,-0.77242965,1.7286797
