,CLASS_NAME,num,x,y,advanced1,advanced2,advanced5,advanced6,advanced9,advanced10,higher3,higher5,higher6,higher7,higher8,higher10,simple1,simple2,simple3,simple4,simple5,simple6
3912,mulan,1386,371164.3218,2385554.513,40.314404,29.35406,67.346985,4.924441,-0.70338285,0.9923512,18.872833,0.000607595,1764.7168,0.000588953,1710.5693,2033.3295,0.00458867,8.092698,0.005012916,0.14710212,50.069252,375.39044
3913,mulan,1389,371304.1658,2385551.926,37.221607,21.485516,94.93664,4.299182,-0.79230946,0.9899382,25.875,0.000704395,1504.9077,0.000669915,1435.4098,2016.6815,0.008433024,7.3491015,0.00810256,0.22066616,35.490303,886.9909
3914,mulan,1391,370985.6658,2385551.426,35.300552,11.276703,223.76436,3.9695497,-0.7859329,0.9894715,29.146341,0.000761443,1362.058,0.000701816,1269.533,1769.5092,0.010765725,6.9510536,0.014647033,0.27392268,18.828255,135.10596
3915,mulan,1393,371319.1658,2385549.926,37.03601,18.300642,95.98683,4.385887,-0.7346328,0.9916678,23.78078,0.000704668,1497.1321,0.00066499,1417.2676,2054.877,0.007136225,7.5178022,0.000930756,0.22163075,35.97784,261.96216
3916,mulan,1394,371102.6658,2385549.426,37.473682,11.584488,25.33518,4.247198,-0.75088036,0.9898352,28.232199,0.000683647,1511.4117,0.000626659,1394.1528,2166.3684,0.009557171,7.087816,0.008070787,0.26119533,21.00277,92.036446
3917,mulan,1397,371175.1658,2385547.926,39.7687,23.78999,86.093185,4.763818,-0.70889276,0.99234957,20.168604,0.000620499,1711.3517,0.000600614,1659.221,2109.7588,0.005091275,7.933481,0.004848869,0.15819143,42.09141,127.26892
3918,mulan,1398,371123.1658,2385547.426,39.48061,20.867353,45.549744,4.5933747,-0.72540903,0.991195,23.825958,0.000627307,1673.1976,0.000595671,1596.8945,1978.41,0.006134852,7.657795,0.004380605,0.19863266,37.919666,291.0834
3919,mulan,1399,371694.3032,2385547.226,42.72853,17.206083,41.860344,4.632281,-0.75764346,0.992256,24.276596,0.000537735,1933.0182,0.000502747,1798.5939,2681.696,0.007991805,7.5868616,0.012579287,0.24639511,26.96399,-109.87352
3920,mulan,1400,371334.6658,2385546.426,37.066483,16.588377,136.71027,4.3842883,-0.73530245,0.99203813,23.895523,0.000707869,1481.3344,0.000670378,1404.4912,1937.4418,0.006932881,7.56738,0.0024402,0.21351345,31.833796,95.32497
3921,mulan,1401,370859.1658,2385545.926,33.95845,12.629852,770.4321,3.3399365,-0.7770133,0.99142784,26.127274,0.000834949,1247.5576,0.000782203,1169.3524,1740.2758,0.008210496,7.285486,0.002472494,0.2281923,24.470915,76.81599
3922,mulan,1402,371286.1658,2385543.926,35.792244,9.136892,140.94737,3.8500247,-0.7847057,0.9892998,30.73006,0.000746483,1379.0061,0.000691692,1279.0709,1963.3712,0.011747914,6.84736,-0.000317936,0.27091366,18.32687,27.803915
3923,mulan,1403,371137.6658,2385543.426,39.734074,24.317095,51.357018,4.7174067,-0.7244523,0.9926122,22.33526,0.000617711,1709.4509,0.000597782,1660.651,1956.6735,0.005313802,7.8508964,0.002302328,0.17325024,45.911358,285.61206
3924,mulan,1404,371148.277,2385544.59,40.073406,26.43644,61.48814,4.852333,-0.69054675,0.9917245,21.075802,0.000613544,1730.5714,0.000589095,1670.8864,2021.79,0.005766531,7.8564363,0.006163573,0.18093815,44.257618,339.56024
3925,mulan,1408,371354.6658,2385539.426,39.632965,20.326504,79.75255,4.658502,-0.71797967,0.991945,21.45614,0.000629255,1673.5555,0.000603223,1605.2244,1946.8801,0.00562841,7.732953,0.007223229,0.18842731,34.68421,-2.0605767
3926,mulan,1409,371024.6658,2385537.426,35.609417,10.129994,262.0829,3.9055007,-0.77985334,0.9895216,31.966566,0.000753168,1367.8906,0.000697614,1279.4669,1825.6049,0.010658298,6.931278,0.015249916,0.25950179,17.130194,43.55634
3927,mulan,1412,371081.6658,2385536.926,36.367035,19.423456,331.03394,4.374565,-0.7007873,0.98914564,23.095522,0.000735657,1438.6149,0.000696507,1363.8864,1860.9432,0.00747769,7.4574127,0.023270858,0.22080204,21.288088,425.56134
3928,mulan,1413,371099.348,2385537.64,37.015236,12.677053,88.283775,4.2719626,-0.7596177,0.9905633,27.28485,0.000710848,1456.591,0.00066538,1366.1295,1990.3909,0.008268046,7.2424016,0.012753774,0.23112826,21.254848,119.86434
3929,mulan,1414,371283.3984,2385534.164,35.722992,11.842934,213.0748,3.9157898,-0.7701319,0.9893365,29.41615,0.000752056,1379.3695,0.000692644,1275.0603,2131.7888,0.011091842,6.9787984,0.003402964,0.26230678,22.731302,117.954704
3930,mulan,1415,371271.1658,2385536.426,36.734074,17.605183,212.97462,4.374628,-0.7541251,0.99233896,23.680723,0.000714874,1470.9698,0.000670058,1382.6709,1907.253,0.007224469,7.541542,0.011774779,0.23917109,27.911358,188.82468
3931,mulan,1417,371006.6658,2385535.426,35.569252,8.123321,152.70523,3.8136332,-0.8227555,0.9882694,36.39506,0.000754365,1358.3518,0.000694253,1249.7958,1940.5278,0.013869599,6.578866,0.013517821,0.3023454,14.462604,55.07047
3932,mulan,1418,371049.6658,2385535.426,37.7036,26.283339,429.50037,4.6199493,-0.6580893,0.9896894,18.604864,0.000702488,1524.5198,0.000654668,1422.1932,2162.5532,0.005444249,7.831167,0.020603925,0.23690851,24.099724,258.24042
3933,mulan,1423,371700.8032,2385532.226,42.299168,21.30385,54.993793,4.7412868,-0.7007443,0.9900965,20.87898,0.000549699,1914.1465,0.000499121,1735.5288,3406.981,0.008394657,7.5801907,0.013645459,0.2758374,30.221607,-224.23077
3934,mulan,1424,371142.1658,2385531.926,39.15097,21.19743,52.48224,4.7287188,-0.7517378,0.99217975,22.924198,0.000634216,1660.1516,0.000610501,1604.234,1978.8076,0.006104158,7.729016,0.011224887,0.20538475,32.30748,339.44424
3935,mulan,1425,371273.1658,2385531.426,36.59141,16.975716,195.44731,4.3087263,-0.7240743,0.9907368,23.987804,0.000719783,1456.811,0.000669659,1360.2245,2006.625,0.008095395,7.425416,0.010436619,0.25365075,27.936289,195.91805
3936,mulan,1426,371281.3534,2385529.677,35.808865,12.589506,189.85796,4.0135174,-0.76206744,0.9891172,28.26935,0.000745983,1392.2662,0.000688268,1291.5679,2129.2043,0.010900009,7.030133,0.005537026,0.26717237,23.423822,139.39314
3937,mulan,1427,371324.6658,2385530.426,37.544323,19.74665,132.73622,4.51334,-0.72684443,0.9917818,22.128359,0.000694089,1520.1731,0.000656646,1437.7532,1977.0956,0.006127178,7.6900725,0.004426112,0.20770322,36.04155,162.8671
3938,mulan,1429,370838.1658,2385529.426,35.347645,15.847286,491.80927,3.9855113,-0.7085455,0.9902399,25.58407,0.000774135,1359.3215,0.000737226,1293.8281,1621.295,0.007493036,7.4327607,0.016560402,0.20940275,23.376732,122.17815
3939,mulan,1430,371128.1658,2385529.426,38.53878,15.220796,33.140797,4.3940873,-0.7785117,0.9911593,26.846607,0.000647362,1607.6283,0.000617462,1538.1173,1986.6903,0.008129926,7.325888,0.00582548,0.22544727,27.742382,192.7424
3940,mulan,1431,371148.1102,2385526.515,39.083103,16.968163,44.45991,4.6829276,-0.7440947,0.99163055,23.494047,0.000640475,1629.2053,0.000608648,1551.1875,2140.1606,0.006794761,7.5629063,0.01827528,0.2347574,23.412743,126.630356
3941,mulan,1432,371092.6658,2385528.926,36.16482,13.403583,251.8453,4.1772714,-0.7369903,0.9900563,26.47432,0.000743066,1398.9457,0.000698612,1317.6505,1942.0906,0.008314086,7.240894,0.015082581,0.23170064,21.387812,100.889755
3942,mulan,1434,371294.3404,2385527.172,35.808865,11.1075115,120.673,3.9211946,-0.7818406,0.9889179,33,0.000754991,1363.7408,0.000708028,1277.5807,2087.5427,0.011797791,6.848124,0.008370448,0.2625167,20.149584,209.74593
3943,mulan,1435,370829.6658,2385527.426,36.959835,18.6175,302.27798,4.404706,-0.7200636,0.9912217,22.911764,0.000707042,1493.1676,0.000675307,1424.4742,1767.9412,0.006441786,7.61826,0.01456458,0.21416728,27.138504,74.13581
3944,mulan,1436,371368.1658,2385527.426,41.78809,15.707171,53.453625,4.4207215,-0.72780454,0.9904345,25.185629,0.000562746,1848.9102,0.0005337,1741.3767,2477.6707,0.00855196,7.379387,0.007890811,0.22812606,27.520775,-150.29692
3945,mulan,1438,371077.6658,2385526.426,37.364265,25.34792,367.0961,4.544724,-0.64215183,0.9884075,19.297873,0.000707108,1513.4559,0.000663203,1414.8623,2229.909,0.006307502,7.694975,0.021763865,0.23077318,22.728533,417.87863
3946,mulan,1440,371140.2533,2385520.949,38.979225,17.710094,47.025974,4.645732,-0.71731526,0.9905499,23.4,0.000645434,1616.406,0.000610926,1537.1187,2133.0327,0.006913698,7.549423,0.018501323,0.22824354,23.814404,205.15013
3947,mulan,1441,371271.6658,2385521.926,36.82964,15.628872,138.19778,4.354455,-0.75222033,0.99146974,25.222221,0.000710729,1469.7006,0.000656588,1362.398,2172.21,0.008175965,7.3536897,0.011709468,0.25450173,25.537395,186.99777
3948,mulan,1443,371311.6658,2385521.926,36.96953,19.428434,160.15712,4.460361,-0.72906184,0.9919074,24.353292,0.000716559,1470.494,0.000677424,1393.9677,1991.1917,0.006863821,7.602064,0.006895887,0.21270226,33.65097,240.10034
3949,mulan,1448,371097.6658,2385517.426,36.57479,15.634988,235.45586,4.33244,-0.72509223,0.99086505,24.11043,0.000731326,1431.3037,0.000679693,1334.7445,2149.2668,0.007753931,7.3808904,0.01519285,0.24022311,23.842106,111.32338
3950,mulan,1450,371301.1658,2385516.426,36.394737,14.346952,118.052795,4.2335963,-0.74132466,0.9894819,29.674772,0.000734354,1414.0396,0.000688529,1327.2048,2092.5745,0.009825738,7.1315403,0.010184175,0.24461809,24.501385,211.85449
3951,mulan,1451,370996.2942,2385514.702,34.66482,7.1840534,395.98782,3.53486,-0.7933481,0.9889068,34.548782,0.000792566,1290.5183,0.000746173,1208.7977,2009.9116,0.012891245,6.673957,0.020097392,0.28881097,12.293629,-5.229732
3952,mulan,1452,370981.6658,2385515.426,35.03324,7.757898,323.68292,3.7159007,-0.8177111,0.98914045,31.68323,0.000778363,1318.1646,0.00071812,1215.8591,2081.9316,0.012143093,6.7483788,0.025940392,0.2988202,12.393352,20.515072
3953,mulan,1453,371027.6658,2385515.426,34.96953,8.586329,224.50021,3.7834337,-0.77655375,0.989014,32.99401,0.000778672,1319.4281,0.000734505,1248.4526,1741.9341,0.011809302,6.7921576,0.008403794,0.24443048,15.933518,29.432854
3954,mulan,1456,371013.1658,2385514.926,34.429363,7.0843453,366.74976,3.4740422,-0.7950486,0.9890669,34.706585,0.000805252,1272.009,0.000762759,1202.9585,1732.994,0.013056222,6.6628923,0.007365595,0.2656819,13.429363,-9.077715
3955,mulan,1457,371137.1658,2385514.926,38.88227,16.228521,41.847607,4.5833945,-0.74369556,0.9908458,24.461079,0.000639407,1627.9012,0.000604643,1553.6029,2222.512,0.007404793,7.470915,0.017828042,0.22630689,23.066483,187.48158
3956,mulan,1458,371725.8032,2385514.726,42.409973,22.322227,96.908585,4.734545,-0.6865324,0.9889124,22.33127,0.000557908,1902.4736,0.000516868,1741.1993,2892.7214,0.008007152,7.514171,0.015339827,0.2293665,29.35734,-340.33307
3957,mulan,1460,371284.6658,2385514.426,36.109417,12.989412,181.18304,4.127322,-0.7500357,0.99006104,27.12461,0.000737931,1408.352,0.000678165,1302.08,2230.5078,0.00953415,7.1797915,0.008778212,0.2552071,23.01662,136.52686
3958,mulan,1463,370957.1658,2385511.426,35.962605,13.346247,395.32324,4.1316886,-0.7303068,0.9890861,25.175226,0.000743318,1400.9728,0.000697033,1316.881,1955.7462,0.008072375,7.2596426,0.030566553,0.2597499,15.803324,73.12816
3959,mulan,1465,371322.1658,2385510.926,38.16482,18.591948,87.735634,4.5882893,-0.7575377,0.992601,22.303572,0.000675866,1555.3303,0.000643194,1479.3555,2088.2144,0.00580106,7.698389,0.00594785,0.2016618,33.07202,91.5221
3960,mulan,1466,370938.1658,2385510.426,36.52216,18.889399,547.8353,4.2492075,-0.6835394,0.98972714,20.993921,0.000733774,1441.6565,0.000689206,1350.0011,2130.991,0.006537703,7.5937743,0.023830572,0.25231352,20.772854,76.47729
3961,mulan,1467,371304.6658,2385510.426,37.347645,18.581358,133.71959,4.521755,-0.73399526,0.99079794,26.232143,0.000706042,1486.1221,0.000673149,1416.5942,2045.137,0.007450833,7.5128226,0.010866141,0.21030611,29.659279,192.18295
3962,mulan,1471,371317.1658,2385506.926,38.21468,18.484383,106.598335,4.6141515,-0.71639496,0.9914064,22.857143,0.00066957,1569.2887,0.000636833,1493.2513,2102.4226,0.006184728,7.6348295,0.011029033,0.21911459,29.432133,77.16736
3963,mulan,1472,370970.1658,2385504.926,34.53878,9.295588,487.74225,3.6261706,-0.7703414,0.9889485,31.434525,0.000801531,1287.2142,0.000760579,1224.6699,1705.1666,0.011091842,6.887111,0.024306754,0.2556884,14.390582,59.79314
3964,mulan,1474,371303.1658,2385501.426,37.34349,15.311378,127.61225,4.469224,-0.7330552,0.99063617,26.433628,0.000702782,1483.4454,0.000668311,1412.8193,1765.9498,0.007565933,7.421172,0.016830556,0.21679866,22.731302,80.577255
3965,mulan,1475,371328.1658,2385501.426,38.512466,16.044859,52.044106,4.520031,-0.75724363,0.99154454,23.627218,0.000662957,1574.0208,0.000632051,1503.9617,2017.2485,0.006426439,7.5261197,0.007953887,0.20310684,27.99446,37.34072
3966,mulan,1476,371376.6658,2385501.426,42.317173,12.116852,25.362144,4.2797647,-0.7574757,0.989288,30.487804,0.00054134,1901.5092,0.000504695,1758.7599,2605.311,0.011034292,7.027649,0.003842989,0.26342422,23.105263,-78.21867
3967,mulan,1477,371010.6658,2385499.926,34.253464,8.851269,529.1579,3.4509616,-0.7933681,0.98936296,33.428154,0.000818594,1257.4017,0.000785849,1206.2957,1555.0264,0.01121078,6.8559823,0.012085486,0.23312873,15.808865,26.6694
3968,mulan,1479,371092.1658,2385497.426,36.432133,15.876973,207.33083,4.343887,-0.75534403,0.9909465,24.56839,0.000728245,1438.6656,0.000678699,1349.7549,2006.7781,0.007773114,7.393843,0.014555863,0.22975445,24.415512,151.75757
3969,mulan,1482,370975.6658,2385490.926,34.72853,16.854282,538.0726,3.7347991,-0.8171612,0.9889109,30.321533,0.00081269,1291.1534,0.000778861,1239.5762,1711.6726,0.009913982,7.071153,0.022510367,0.23910601,20.919668,719.01465
3970,mulan,1483,371245.6658,2385490.426,41.306095,42.924313,193.08922,5.256289,-0.605143,0.98709095,16.035294,0.000578857,1894.7294,0.00055326,1811.2721,2281.5,0.004431366,8.116316,0.01480464,0.21102837,31.293629,1432.1788
3971,mulan,1485,371264.1658,2385488.926,36.923824,14.851538,132.88945,4.2832046,-0.7600601,0.9916331,25.456974,0.000704282,1480.1157,0.00066541,1405.3071,1779.3501,0.007335733,7.448368,0.004406966,0.2213619,27.759003,80.033394
3972,mulan,1486,371313.6658,2385488.926,39.372578,17.303015,85.62154,4.4790387,-0.72924936,0.9921905,22.61652,0.000636193,1646.4159,0.000606134,1570.5066,2008.5929,0.006115669,7.6744776,0.003329793,0.190768,32.61219,-49.358616
3973,mulan,1487,371087.6658,2385487.926,37.632965,23.165838,152.26312,4.685126,-0.70049244,0.9900553,20.30303,0.000688085,1549.6576,0.000646328,1461.4825,2264.5818,0.006545377,7.6304717,0.014697393,0.22521791,30.556787,352.26736
3974,mulan,1488,371101.1658,2385481.926,37.21191,14.485564,169.51978,4.3925924,-0.75184417,0.9914518,23.728395,0.000701268,1487.0525,0.000641591,1370.1978,2057.4229,0.007320386,7.4399905,0.020749906,0.25168723,20.263159,51.282024
3975,mulan,1489,371004.6658,2385479.926,37.11773,24.253452,393.05988,4.5030355,-0.67709845,0.98932344,20.305882,0.000722077,1481.5441,0.000690402,1420.8818,1827.5941,0.005866284,7.758251,0.017014265,0.2155448,28.490305,420.36786
3976,mulan,1490,371313.1658,2385479.926,39.890583,16.994953,69.25961,4.499083,-0.7362629,0.9922112,22.675516,0.000619163,1688.9794,0.000588252,1609.9727,2005.0059,0.006023588,7.6439347,0.003085135,0.18853652,32.207756,-32.88432
3977,mulan,1491,371253.6658,2385479.426,38.03878,20.070518,113.87967,4.634593,-0.7632789,0.99178153,21.938053,0.000668558,1583.1947,0.000636855,1511.927,1921.3628,0.006246116,7.655592,0.015530572,0.20542239,27.628809,390.55667
3978,mulan,1492,370953.1658,2385477.926,34.833794,16.894814,604.9467,3.8202488,-0.72669184,0.9892262,24.938272,0.000807862,1302.1636,0.000739022,1191.4946,1744.8395,0.00866706,7.3016295,0.021787515,0.26041514,21.3518,319.17767
3979,mulan,1494,370931.6658,2385475.926,34.051247,11.513994,701.5351,3.4194145,-0.761354,0.99055386,28.393393,0.000829036,1253.8468,0.000780944,1178.5991,1633.2162,0.00933848,7.139123,0.006311352,0.24919032,21.35457,66.20154
3980,mulan,1495,371276.1658,2385474.926,37.193905,14.27265,106.15996,4.3519597,-0.7314218,0.99061054,24.763636,0.000707388,1473.6818,0.000663222,1380.9698,2055.518,0.007539077,7.362317,0.009959732,0.23765333,24.487535,95.82731
3981,mulan,1496,371312.1658,2385473.926,40.13989,17.411179,53.61773,4.545282,-0.7333304,0.9923074,23,0.000608177,1719.9678,0.000580232,1648.7288,2004.9237,0.005896978,7.6960115,0.002969161,0.19162579,33.02216,-40.552742
3982,mulan,1497,371086.1658,2385469.426,37.613575,23.250952,225.61342,4.653883,-0.7071368,0.9911451,20.60606,0.000693072,1535.1606,0.000646522,1433.1373,2049.7878,0.005946854,7.732819,0.014363124,0.22664167,30.9723,332.17178
3983,mulan,1498,371366.1658,2385466.926,41.77424,12.917175,26.291971,4.315806,-0.7774197,0.99172556,29.317366,0.000552998,1863.3384,0.000522515,1754.5333,2429.045,0.00851743,7.2859654,0.001371324,0.2387194,25.376732,23.188381
3984,mulan,1501,371409.6658,2385464.426,42.2964,29.610209,80.21923,4.906693,-0.71970844,0.98918086,24.732523,0.000555543,1911.6383,0.000519532,1788.4021,2720.0579,0.008874241,7.58221,0.011975172,0.24608973,38.221607,634.08325
3985,mulan,1503,371333.1658,2385462.926,40.82964,18.728596,43.1997,4.6699796,-0.74272937,0.9924918,22.44144,0.000588284,1778.0631,0.000554202,1664.6526,2306.3333,0.005900814,7.715657,0.008185803,0.20943996,31.714682,79.97221
3986,mulan,1504,371245.6658,2385461.426,40.627422,23.186672,69.92397,4.952448,-0.6777281,0.98927456,20.142857,0.000598972,1766.6964,0.000569382,1663.7115,2252.5981,0.006322849,7.6325397,0.0219026,0.21946836,22.822714,70.950165
3987,mulan,1505,371398.6658,2385461.426,40.79363,17.828602,40.6856,4.569303,-0.72657543,0.9911835,26.003057,0.000585969,1780.9633,0.000544529,1644.0085,2459,0.008640204,7.438223,0.007909788,0.25077948,30.628809,8.683784
3988,mulan,1506,371090.6658,2385458.926,37.781162,23.126625,238.29987,4.6452007,-0.7210201,0.9914346,20.807228,0.000688173,1543.274,0.000643345,1447.4073,1975.6716,0.005643757,7.770344,0.011812415,0.2079039,33.61773,241.87686
3989,mulan,1507,371406.6658,2385458.926,41.799168,31.456898,87.86914,4.986684,-0.7222064,0.9900655,22.164635,0.000572436,1859.4786,0.000534577,1733.1335,2661.997,0.007243652,7.7139516,0.012609615,0.23746778,37.95845,727.01794
