,CLASS_NAME,num,x,y,B2,B3,B4,B5,B6,B7,B8
6184,water,3335,374208.5283,2380832.965,0.102600001,0.108599998,0.094800003,0.056299999,0.124799997,0.199000001,0.148000002
6185,water,3336,374193.1824,2380831.642,0.108999997,0.112899996,0.098999999,0.069899999,0.023,0.001,0
6186,water,3337,374183.6574,2380839.183,0.108999997,0.116400003,0.097800002,0.066699997,0.031300001,0.0003,0
6187,water,3338,374203.2366,2380863.26,0.085199997,0.087899998,0.0682,0.044199999,0.106700003,0.131799996,0.052099999
6188,water,3341,374154.6854,2380860.614,0.106299996,0.115699999,0.097800002,0.0691,0.0252,0.0076,0
6189,water,3343,374138.8104,2380875.431,0.087899998,0.091399997,0.0634,0.043400001,0.217600003,0.288899988,0.327899992
6190,water,3344,374115.064,2380881.979,0.095299996,0.107900001,0.085900001,0.058699999,0.105899997,0.118699998,0.146799996
6191,water,3345,374133.3203,2380887.536,0.097999997,0.1043,0.081200004,0.061099999,0.064400002,0.077,0
6192,water,3347,374352.1532,2380935.562,0.115400001,0.125,0.110299997,0.072400004,0.0275,0,0
6193,water,3348,374339.9823,2380936.224,0.1127,0.122199997,0.104900002,0.077200003,0.026699999,0.0025,0
6194,water,3349,374335.2198,2380946.41,0.109899998,0.122199997,0.105499998,0.073200002,0.026699999,0.0091,0
6195,water,3351,374322.2552,2380958.316,0.108999997,0.117899999,0.103699997,0.075599998,0.0305,0.0047,0
6196,water,3352,374312.9948,2380959.772,0.107199997,0.118600003,0.1043,0.0788,0.031300001,0.0076,0
6197,water,3355,374302.4114,2380967.18,0.1017,0.115699999,0.101999998,0.072400004,0.087099999,0.115000002,0.041299999
6198,water,3356,374291.6958,2380970.619,0.1008,0.095700003,0.093699999,0.057100002,0.099100001,0.134800002,0.0605
6199,water,3358,374480.0663,2381075.672,0.1109,0.117899999,0.108499996,0.079599999,0.035,0.0018,0
6200,water,3359,374475.78,2381084.086,0.108099997,0.118600003,0.1061,0.079599999,0.035799999,0.0054,0
6201,water,3360,374472.9225,2381090.198,0.113600001,0.118600003,0.113200001,0.078000002,0.0222,0,0
6202,water,3361,374467.6044,2381090.912,0.1109,0.121399999,0.109099999,0.070699997,0.019200001,0.030999999,0
6203,water,3362,374465.3025,2381096.151,0.104400001,0.112099998,0.103699997,0.067500003,0.033500001,0.023,0
6204,water,3363,374461.4925,2381099.088,0.098899998,0.109300002,0.091899998,0.061900001,0.101400003,0.110600002,0.070100002
6205,water,3366,374455.1425,2381116.63,0.104400001,0.117200002,0.103100002,0.078000002,0.037999999,0,0
6206,water,3367,374452.6818,2381122.583,0.096199997,0.101400003,0.088299997,0.061900001,0.067500003,0.063900001,0
6207,water,3368,374446.8875,2381126.234,0.0999,0.114299998,0.107299998,0.073200002,0.033500001,0.0098,0
6208,water,3370,374437.3624,2381132.267,0.0999,0.107100002,0.099600002,0.064300001,0.0418,0.030300001,0
6209,water,3371,374435.3781,2381140.363,0.1109,0.122199997,0.111400001,0.081200004,0.046300001,0.0149,0
6210,water,3372,374431.8856,2381147.11,0.108099997,0.116400003,0.103699997,0.0748,0.037300002,0,0
6211,water,3373,374435.1399,2381152.508,0.105400003,0.114299998,0.1043,0.077200003,0.0177,0,0
6212,water,3375,374433.7906,2381165.446,0.1008,0.107900001,0.1008,0.066699997,0.034299999,0.0186,0
6213,water,3376,374429.9805,2381170.685,0.107199997,0.107900001,0.098399997,0.070699997,0.041099999,0.0091,0
6214,water,3377,374429.7424,2381176.082,0.1008,0.112899996,0.103699997,0.074000001,0.0184,0,0
6215,water,3378,374427.3612,2381182.273,0.097999997,0.110699996,0.098399997,0.071599998,0.0252,0.019300001,0
6216,water,3379,374427.6787,2381188.306,0.1008,0.112899996,0.099600002,0.0748,0.038800001,0,0
6217,water,3380,374423.7099,2381194.1,0.1008,0.111400001,0.095399998,0.0691,0.0396,0.0069,0
6218,water,3382,374412.6768,2381202.355,0.102600001,0.110699996,0.096600004,0.067500003,0.043299999,0.0098,0
6219,water,3383,374415.1374,2381207.356,0.0999,0.110699996,0.095399998,0.068300001,0.0403,0,0
6220,water,3384,374411.3274,2381212.277,0.103500001,0.109300002,0.1008,0.0748,0.050099999,0,0
6221,water,3385,374413.0736,2381218.707,0.105400003,0.108599998,0.099600002,0.069899999,0.0116,0,0
6222,water,3387,374424.3449,2381222.199,0.098899998,0.1043,0.091899998,0.064300001,0.0418,0.056600001,0
6223,water,3389,374422.9955,2381235.772,0.098899998,0.104999997,0.097199999,0.066699997,0.026000001,0.0091,0
6224,water,3390,374420.8524,2381242.598,0.0779,0.0814,0.060400002,0.034499999,0.187399998,0.196899995,0.208000004
6225,water,3392,374416.5661,2381252.441,0.097099997,0.111400001,0.093099996,0.077200003,0.042599998,0,0
6226,water,3393,374427.5199,2381260.299,0.097099997,0.101400003,0.093099996,0.064300001,0.0328,0,0
6227,water,3394,374880.932,2381204.461,0.093400002,0.106399998,0.092500001,0.049800001,0.198699996,0.2597,0.2236
6228,water,3395,374903.4216,2381221.659,0.090700001,0.101400003,0.0836,0.0603,0.152700007,0.256799996,0.199599996
6229,water,3396,374913.8727,2381212.796,0.1118,0.127900004,0.123899996,0.091700003,0.057700001,0,0
6230,water,3397,374923.2654,2381236.344,0.092500001,0.090700001,0.072300002,0.042599998,0.189700007,0.334199995,0.399899989
