,CLASS_NAME,num,x,y,WV2_B2,WV2_B3,WV2_B4,WV2_B5,WV2_B6,RVI,GNDVI,MTVI2,MCARI,NDWI,advanced6,advanced7,advanced8,advanced9,higher3,higher5,higher7,higher8,simple2,simple3,simple4,simple5,simple7,OHS_B1,OHS_B13,OHS_B16,OHS_B32,dif_B2,dif_B3,dif_B9,dif_B16,dif_B22,dif_B29,OHS_MSR2
23,baigurang,3864,373221.977,2381831.169,0.075999998,0.080700003,0.062199999,0.031300001,0.1919,9.41853,0.5701731,0.53383124,0.8482838,-0.5701731,4.042433,2.0210392,3.674521,-0.7703213,32.54902,0.000489174,0.000437862,1904.9559,6.3126206,0.041011978,0.34711844,10.180056,32525.62,931,586,956,4265,-58,-44.5,-26.5,467.5,152,388.5,0.50436646
24,baigurang,3865,373207.4196,2381828.753,0.075999998,0.069300003,0.056899998,0.0241,0.169300005,10.684647,0.5758874,0.50167274,0.8795171,-0.5758874,4.847135,2.2739997,8.814137,-0.54888594,22.335484,0.000448551,0.000407305,2086.221,7.0939455,0.016364517,0.30762398,23.254848,87747.43,988,604,975,4554,-79.5,-9.5,-35,424,205,570,0.5093836
25,baigurang,3866,373226.5094,2381855.674,0.084299996,0.0836,0.070500001,0.0418,0.189700007,6.894737,0.5502958,0.46441203,0.5749091,-0.5502958,5.0235405,2.3235853,9.739277,-0.52241075,18.261438,0.000428647,0.000387635,2158.1494,7.3354588,0.013953245,0.29173687,26.052631,81410.73,916,610,952,4426,-26,-59.5,-39.5,396.5,149.5,449,0.49732506
26,baigurang,3867,373236.956,2381866.564,0.084299996,0.073600002,0.0581,0.036200002,0.084100001,3.7430937,0.29603058,0.22476307,0.106402755,-0.29603058,4.9326634,2.3556983,10.270378,-0.59244716,20.70625,0.000437991,0.000403328,2195.1643,7.304944,0.0147869,0.27137813,27.783934,81037.23,953,597,941,3919,-65,-37.5,-17.5,453,231.5,446.5,0.45588678
27,baigurang,3868,373243.0745,2381876.056,0.082400002,0.082099997,0.069300003,0.035300002,0.202500001,8.640226,0.5758202,0.52613896,0.82101405,-0.5758202,5.102147,2.3356316,9.846794,-0.5304727,19.231512,0.000425131,0.000383485,2216.3733,7.2846136,0.014059056,0.29665062,26.398891,83825.336,943,587,899,4052,-28,-49.5,-32.5,430.5,230.5,583,0.531607
28,baigurang,3870,373248.4323,2381863.058,0.0779,0.078599997,0.056299999,0.0265,0.208499998,13.6603775,0.6432138,0.6683879,1.2275536,-0.6432138,4.0769463,2.1623175,5.379348,-0.8434714,32.17647,0.000491838,0.000450793,1932.3151,6.595749,0.028530406,0.29773447,15.085873,6503.0146,844,572,1006,4395,-14.5,-52,-22.5,445.5,152.5,588.5,0.6274641
29,baigurang,3871,373258.685,2381858.692,0.076899998,0.072800003,0.053300001,0.0241,0.187399998,14.020747,0.6454833,0.6417333,1.0915855,-0.6454833,3.7332454,2.0400097,3.5973787,-0.803305,39.332268,0.000514381,0.000459209,1762.5713,6.158254,0.016659416,0.3578708,9.966759,514.1531,761,515,986,4256,-9.5,-64.5,-26.5,461.5,167.5,504.5,0.5901382
30,baigurang,3872,373266.9863,2381869.739,0.073299997,0.059999999,0.0438,0.020099999,0.151999995,15.393035,0.67514884,0.6067972,0.85830843,-0.67514884,4.2988114,2.1222394,5.1518426,-0.71008795,31.038586,0.000482047,0.000429895,1920.3387,6.6297855,0.036168423,0.34841084,13.759003,5759.196,866,524,1039,4267,-74.5,-16.5,-31.5,416,151.5,471,0.642845
31,baigurang,3873,373266.0933,2381883.2,0.085199997,0.080700003,0.062199999,0.038600001,0.189700007,7.5984454,0.56844914,0.48546332,0.63544595,-0.56844914,4.737273,2.2399318,7.428296,-0.6519901,25.292683,0.000454396,0.000422752,2141.8337,7.1789684,0.023995029,0.2882878,20.271467,30601.107,824,590,987,4341,25,-73,-25,455.5,164,617,0.49507377
32,baigurang,3874,373264.5058,2381897.289,0.081500001,0.078599997,0.058699999,0.0305,0.201700002,11.531148,0.63467354,0.6226655,0.96935046,-0.63467354,5.0453076,2.4036455,12.369482,-0.55838877,19.211538,0.000426961,0.000391906,2217.0789,7.4515467,0.013562606,0.27608597,32.883656,73375.31,851,596,996,4063,15,-85,-29.5,362,205,594,0.5299869
33,baigurang,3876,373286.0363,2381908.699,0.074199997,0.072099999,0.057500001,0.028899999,0.186700001,10.882354,0.6270046,0.56620914,0.8713529,-0.6270046,4.6277604,2.2348077,6.7844477,-0.6402757,25.978193,0.000466926,0.000429326,2075.741,7.0762067,0.021341821,0.27591342,18.947369,74872.08,946,561,962,3785,-78,-101,-24.5,430,130.5,525.5,0.4851898
34,baigurang,3878,373278.564,2381899.283,0.080600001,0.082800001,0.059799999,0.0297,0.216100007,12.235691,0.62886596,0.65295976,1.1622834,-0.62886596,4.3136573,2.2612607,7.5398207,-0.7361441,29.801224,0.000479494,0.00044422,2006.5874,6.9684963,0.016879756,0.26832286,20.903048,4709.1284,845,539,970,3899,-12.5,-104,-19.5,419.5,172.5,487.5,0.51640195
35,baigurang,3879,373191.9856,2381811.832,0.075999998,0.077799998,0.056899998,0.028100001,0.185100004,12.103202,0.62766206,0.6220646,0.89282763,-0.62766206,4.8574724,2.4305382,14.888301,-0.67059195,22.798164,0.000458095,0.000426823,2135.0503,7.58395,0.010884442,0.24342145,40.412743,21512.555,903,615,973,4100,-18,-63,-37.5,434,235.5,352,0.5143
36,baigurang,3881,373175.9915,2381799.323,0.082400002,0.079300001,0.060400002,0.036200002,0.192699999,9.27348,0.6178313,0.5617127,0.71235114,-0.6178313,5.1437645,2.50717,15.585861,-0.63300115,18.808384,0.000450811,0.000423356,2271.2673,7.902019,0.011565531,0.22388572,43.218838,43816.86,883,667,959,3704,26.5,-69.5,-63.5,421.5,138.5,4.5,0.42909774
37,baigurang,3882,373187.0114,2381784.163,0.0779,0.072099999,0.055100001,0.024900001,0.185100004,11.546185,0.59899884,0.5525298,1.022882,-0.59899884,4.265627,2.2510555,8.154567,-0.79293674,29.654322,0.000526883,0.000485277,1834.963,6.8313107,0.021261781,0.26031858,22.390581,21173.879,862,566,963,3606,-32,-66.5,-34.5,457.5,209.5,177.5,0.5553766
38,baigurang,3883,373196.457,2381791.307,0.0779,0.070699997,0.055100001,0.028100001,0.163299993,10.619217,0.61690605,0.54371434,0.6780727,-0.61690605,4.2346735,2.245083,8.890209,-0.7659148,33.56269,0.000521569,0.000483001,1868.2554,6.628799,0.020445762,0.29267114,23.434902,21246.25,876,621,1010,4137,-48.5,-76,-33.5,510,218.5,298.5,0.5066293
39,baigurang,3884,373199.9892,2381779.202,0.0788,0.073600002,0.0557,0.024900001,0.193399996,13.7751,0.6466635,0.6442625,1.1226519,-0.6466635,3.688114,2.058144,5.0628524,-0.832135,40.37931,0.000545629,0.000495475,1723.729,6.0229034,0.035613123,0.32907736,13.501385,16663.303,817,597,1000,4093,-27.5,-53.5,-27,462,53.5,460.5,0.5238352
40,baigurang,3885,373208.9189,2381772.256,0.0788,0.077799998,0.058699999,0.0297,0.214599997,11.670033,0.63336474,0.61965024,1.1383194,-0.63336474,3.9953685,2.0699244,5.9945617,-0.8331319,39.546585,0.000546943,0.000502369,1720.2905,6.343429,0.0314616,0.30344823,15.864266,18904.193,841,579,970,4406,-50.5,-91,-14,427.5,70.5,477.5,0.54991496
41,baigurang,3886,373191.0992,2381763.168,0.0779,0.07,0.052099999,0.0241,0.1708,13.141079,0.6379623,0.6030594,0.89680624,-0.6379623,4.4441876,2.205746,7.5058146,-0.74861246,31.680851,0.000523174,0.000489378,1855.3816,6.9458337,0.0245442,0.2735881,20.36288,34429.926,831,610,994,3671,-22,-85.5,-33,430.5,39.5,172.5,0.45191026
42,baigurang,3887,373210.6046,2381787.585,0.0788,0.077100001,0.0616,0.0297,0.208499998,12.212121,0.64938605,0.6416598,1.0707213,-0.64938605,3.8258493,2.115351,6.530822,-0.83477825,41.200607,0.000533048,0.000495071,1805.4309,6.1675997,0.02701365,0.3017118,17.31579,17435.281,829,577,970,4439,-20.5,-97.5,-12,434,11,474.5,0.5934905
