,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
74,baigurang,3931,373393.1894,2381535.75,-12.402135,-20.387838,-16.394987,0.70169175,22.31743,0.6197893,15.659957,-14.958265
75,baigurang,3932,373373.5044,2381519.981,-11.3547945,-19.225456,-15.290125,0.6629337,20.820652,0.6554049,13.802712,-13.139778
76,baigurang,3933,373428.8553,2381537.02,-10.180722,-17.809532,-13.995127,0.65167654,16.330437,0.6652396,10.642162,-9.990486
77,baigurang,3934,373439.0153,2381594.699,-9.768098,-18.496399,-14.132248,0.7151821,20.028458,0.60669523,14.323995,-13.608812
78,baigurang,3935,373440.9203,2381622.216,-10.9438505,-16.288044,-13.615948,0.73088557,19.166504,0.5909508,14.008521,-13.277636
79,baigurang,3936,373452.8795,2381675.344,-10.712535,-18.970627,-14.841581,0.5763801,14.440867,0.7259606,8.323428,-7.7470484
80,baigurang,3937,373474.1521,2381654.284,-11.229389,-18.71318,-14.971285,0.66863084,16.496513,0.6503441,11.030078,-10.361446
81,baigurang,3938,373495.4246,2381680.954,-9.862538,-19.37706,-14.619799,0.54774815,12.338418,0.747009,6.7583456,-6.2105975
82,baigurang,3939,373439.5445,2381726.039,-12.378059,-18.51733,-15.447695,0.67569524,19.203693,0.6439882,12.975844,-12.300149
83,baigurang,3940,373425.4686,2381763.504,-11.488648,-18.702364,-15.095507,0.6075771,16.817162,0.7018051,10.217722,-9.610145
84,baigurang,3941,373449.7045,2381776.839,-12.622734,-20.153664,-16.388199,0.6580926,18.456944,0.6596608,12.1463785,-11.488286
85,baigurang,3943,373481.2429,2381745.406,-12.447128,-19.535034,-15.991081,0.70196867,22.013683,0.61952436,15.452916,-14.750947
86,baigurang,3944,373507.1721,2381764.562,-10.312395,-20.069391,-15.190893,0.62559325,17.654562,0.68722796,11.044575,-10.418982
87,baigurang,3946,373510.6646,2381733.976,-10.804078,-18.440992,-14.622536,0.6221193,16.802614,0.6900763,10.453231,-9.831111
88,baigurang,3949,373412.2968,2381462.705,-11.945661,-17.537058,-14.74136,0.654001,16.965187,0.66322654,11.095249,-10.441248
89,baigurang,3950,373422.4568,2381475.564,-12.483567,-20.46731,-16.47544,0.65445834,17.906874,0.66282934,11.719303,-11.064844
90,baigurang,3952,373374.9111,2381417.223,-9.059196,-16.274853,-12.667025,0.62159234,15.341644,0.69050676,9.536248,-8.914657
