,CLASS_NAME,num,x,y,B1,B3,B4,B5,B6,B7,B8,RVI,GNDVI,MTVI2,MSAVI,MCARI,NDVIRE,NDWI,CMRI
5957,tonghuashu,9618,371082.4451,2385880.78,0.077699997,0.062799998,0.058699999,0.0273,0.212300003,0.32980001,0.411799997,12.080586,0.68008155,0.58473665,0.5407187,1.206144,0.7721202,-0.68008155,1.5271832
5958,tonghuashu,9619,371088.3585,2385868.437,0.077699997,0.062100001,0.057500001,0.0265,0.211500004,0.353899986,0.355500013,13.354716,0.7014423,0.6260606,0.58123696,1.2380333,0.7773109,-0.7014423,1.5621153
5959,tonghuashu,9621,371090.3429,2385866.651,0.072099999,0.057100002,0.047400001,0.016000001,0.185100004,0.289600015,0.284700006,18.1,0.67060864,0.6074155,0.51343316,1.6601156,0.84087515,-0.67060864,1.5658965
5960,tonghuashu,9622,371092.4067,2385866.492,0.077699997,0.077100001,0.056899998,0.0297,0.203999996,0.370700002,0.427399993,12.481482,0.65564984,0.65292156,0.59480417,1.0228848,0.74582803,-0.65564984,1.5072982
5961,tonghuashu,9624,371086.3742,2385866.691,0.075300001,0.064999998,0.053300001,0.0233,0.225899994,0.386799991,0.409500003,16.600859,0.7122621,0.7052148,0.6430497,1.6522695,0.81300163,-0.7122621,1.5986314
5962,tonghuashu,9625,371085.8185,2385869.112,0.076899998,0.060699999,0.052700002,0.0209,0.1972,0.367799997,0.361499995,17.598085,0.7166861,0.6922858,0.6243316,1.4058757,0.80834484,-0.7166861,1.6091481
5963,tonghuashu,9626,371088.1998,2385870.739,0.072899997,0.071400002,0.059799999,0.028899999,0.215299994,0.328399986,0.307500005,11.363321,0.6428213,0.58651143,0.53302467,1.1742417,0.76330876,-0.6428213,1.4810525
5964,tonghuashu,9627,371391.0306,2385770.648,0.0713,0.062100001,0.050999999,0.028100001,0.182099998,0.281599998,0.323100001,10.021352,0.6386384,0.50006783,0.45926696,0.84245545,0.7326356,-0.6386384,1.4571724
5965,tonghuashu,9628,371393.2465,2385770.549,0.074500002,0.068599999,0.053300001,0.028100001,0.174600005,0.302100003,0.291900009,10.75089,0.6298894,0.54579306,0.49328864,0.7785545,0.722743,-0.6298894,1.4596895
5966,tonghuashu,9629,371393.2795,2385772.269,0.073700003,0.045699999,0.039099999,0.0104,0.100699998,0.199000001,0.094099998,19.134615,0.6264814,0.46522573,0.36523214,0.7678375,0.81278133,-0.6264814,1.52715
5967,tonghuashu,9632,371405.4173,2385772.665,0.074500002,0.062100001,0.046799999,0.022500001,0.168500006,0.296200007,0.312299997,13.164444,0.65336317,0.5674627,0.5020326,0.93401414,0.76439786,-0.65336317,1.5121646
5968,tonghuashu,9633,371406.8064,2385772.732,0.076899998,0.063600004,0.052700002,0.016799999,0.1708,0.313800007,0.311100006,18.678572,0.6629571,0.654515,0.55251396,1.3476933,0.8208955,-0.6629571,1.5613238
5969,tonghuashu,9634,371406.9056,2385774.518,0.073700003,0.0614,0.047400001,0.022500001,0.179100007,0.30430001,0.308699995,13.524445,0.6642057,0.5796867,0.5156852,1.0591576,0.7767857,-0.6642057,1.5265067
5970,tonghuashu,9635,371406.6741,2385776.535,0.067400001,0.0614,0.047400001,0.0265,0.129299998,0.218799993,0.194800004,8.256603,0.5617416,0.40082318,0.3553809,0.43532625,0.65982026,-0.5617416,1.3456795
5971,tonghuashu,9636,371405.0866,2385776.601,0.073700003,0.046399999,0.042100001,0.0104,0.072700001,0.120899998,0.040100001,11.625,0.4453078,0.29598802,0.21529329,0.39873153,0.7496992,-0.4453078,1.2868919
5972,tonghuashu,9637,371507.3041,2385746.562,0.079999998,0.0678,0.0581,0.0337,0.164000005,0.231199995,0.271600008,6.8605337,0.5464883,0.39025265,0.35749763,0.54047006,0.6590794,-0.5464883,1.2920526
5973,tonghuashu,9638,371509.4473,2385746.562,0.0713,0.066399999,0.0581,0.0297,0.142900005,0.241400003,0.218799993,8.127946,0.56855106,0.42922994,0.38604954,0.47104082,0.6558517,-0.56855106,1.3494437
5974,tonghuashu,9640,371511.3523,2385748.229,0.070500001,0.064999998,0.056299999,0.028899999,0.176100001,0.264099985,0.256000012,9.138408,0.60498327,0.47060686,0.42727843,0.7615564,0.7180488,-0.60498327,1.4077137
5975,tonghuashu,9641,371513.2308,2385748.494,0.076099999,0.066399999,0.061000001,0.0297,0.184400007,0.312999994,0.308699995,10.53872,0.6499737,0.54762536,0.5058046,0.8139678,0.7225596,-0.6499737,1.4766442
5976,tonghuashu,9642,371515.0829,2385744.101,0.074500002,0.063600004,0.049800001,0.0265,0.173099995,0.294800013,0.34709999,11.124529,0.64508927,0.5363209,0.4864057,0.81454974,0.73446894,-0.64508927,1.4801345
5977,tonghuashu,9643,371513.0192,2385744.049,0.072899997,0.063600004,0.050999999,0.0217,0.167799994,0.299100012,0.299100012,13.78341,0.64929694,0.58213514,0.5096854,0.9686003,0.7709763,-0.64929694,1.5140102
5978,tonghuashu,9644,371511.1935,2385744.022,0.075300001,0.059300002,0.0515,0.0176,0.160999998,0.272799999,0.29550001,15.5,0.64287865,0.56510603,0.478148,1.1257193,0.8029115,-0.64287865,1.5216665
5979,tonghuashu,9645,371511.0612,2385740.477,0.072099999,0.062100001,0.0504,0.0241,0.158000007,0.288199991,0.261999995,11.958506,0.6454468,0.5408819,0.4831438,0.75210625,0.7353102,-0.6454468,1.491108
5980,tonghuashu,9646,371512.9927,2385740.582,0.073700003,0.067100003,0.055100001,0.0217,0.173099995,0.289600015,0.285899997,13.345623,0.6237735,0.57281053,0.49351197,1.0386,0.77720743,-0.6237735,1.4843582
5981,tonghuashu,9647,371513.0985,2385742.223,0.075300001,0.056400001,0.050999999,0.020099999,0.1655,0.287499994,0.309899986,14.303483,0.67199767,0.56217444,0.49534202,1.0175369,0.7834052,-0.67199767,1.5413084
5982,tonghuashu,9648,371514.9506,2385742.355,0.076899998,0.059300002,0.049199998,0.0217,0.162499994,0.287499994,0.29550001,13.248847,0.65801615,0.55393255,0.48991594,0.89981556,0.7643866,-0.65801615,1.517654
5983,tonghuashu,9649,371531.249,2385744.287,0.076099999,0.070699997,0.055100001,0.019300001,0.164000005,0.293300003,0.239199996,15.196891,0.6115385,0.6081675,0.50812477,1.0710136,0.78941625,-0.6115385,1.488058
5984,tonghuashu,9650,371531.0109,2385742.673,0.074500002,0.064300001,0.049199998,0.028100001,0.190400004,0.315899998,0.338699996,11.241993,0.661757,0.55983275,0.5157454,0.92882675,0.7427918,-0.661757,1.4983848
5985,tonghuashu,9651,371529.1852,2385742.408,0.075300001,0.067100003,0.053300001,0.022500001,0.151199996,0.2685,0.246399999,11.933332,0.6001192,0.5294078,0.45450598,0.7518335,0.7409325,-0.6001192,1.4454799
5986,tonghuashu,9653,371605.134,2385730.078,0.080799997,0.072800003,0.0557,0.032900002,0.179100007,0.277200013,0.260800004,8.425531,0.584,0.48055395,0.4374357,0.6801445,0.6896226,-0.584,1.3718104
5987,tonghuashu,9654,371603.1497,2385730.396,0.075300001,0.073600002,0.0616,0.025699999,0.186700001,0.28670001,0.318300009,11.1556425,0.5914516,0.54782224,0.47541738,1.0052742,0.7580038,-0.5914516,1.426919
5988,tonghuashu,9655,371610.849,2385730.713,0.072899997,0.0614,0.0504,0.028899999,0.118000001,0.173500001,0.118100002,6.0034604,0.47722438,0.30536085,0.26803452,0.31757924,0.6065351,-0.47722438,1.1916512
5989,tonghuashu,9656,371613.1112,2385730.713,0.069700003,0.065700002,0.053300001,0.028899999,0.173099995,0.361999989,0.258399993,12.525951,0.6927753,0.6259799,0.5847925,0.735046,0.7138614,-0.6927753,1.5449114
5990,tonghuashu,9657,371612.7144,2385728.451,0.077699997,0.060699999,0.055100001,0.0273,0.1919,0.276499987,0.331499994,10.128204,0.63997626,0.4945401,0.45315456,0.9725745,0.7509124,-0.63997626,1.4602528
5991,tonghuashu,9658,371614.7384,2385728.451,0.078500003,0.069300003,0.056299999,0.0265,0.184400007,0.298400015,0.323100001,11.260378,0.6230623,0.552969,0.49238926,0.93856126,0.7486961,-0.6230623,1.4599353
5992,tonghuashu,9660,371614.5003,2385724.721,0.072099999,0.059999999,0.050999999,0.024900001,0.185100004,0.28670001,0.302700013,11.514056,0.6538794,0.52809525,0.4779981,1.0048922,0.76285714,-0.6538794,1.4940592
5993,tonghuashu,9661,371619.2231,2385724.8,0.074500002,0.058600001,0.053300001,0.0233,0.164800003,0.261900008,0.244000003,11.240344,0.63432133,0.49491593,0.44050995,0.85059434,0.7522594,-0.63432133,1.4709272
5994,tonghuashu,9662,371617.0006,2385722.379,0.076099999,0.065700002,0.0557,0.0265,0.166299999,0.299899995,0.299100012,11.316981,0.64059085,0.5486484,0.49487543,0.75104845,0.72510374,-0.64059085,1.4782135
5995,tonghuashu,9663,371626.9225,2385722.458,0.076899998,0.0678,0.0557,0.024900001,0.190400004,0.315899998,0.339899987,12.686747,0.6465989,0.5910288,0.526603,1.0780158,0.7686948,-0.6465989,1.5004722
5996,tonghuashu,9664,371627.0813,2385724.681,0.076899998,0.064999998,0.055100001,0.028100001,0.209299996,0.400700003,0.439399987,14.259787,0.72085035,0.6839424,0.6436776,1.134689,0.76326877,-0.72085035,1.5897868
