,CLASS_NAME,num,x,y,RVI,GNDVI,RDVI,CIg2,MSR2,MSAVI,MCARI1,MCARI2,CMRI
354,baigurang,4304,374442.1058,2381075.485,5.3785596,0.48726264,42.360115,1.532972,0.5543857,3157.0183,568.2651,,1.1737123
355,baigurang,4306,374811.2532,2381267.282,5.183908,0.48076922,41.520184,1.6341463,0.5360921,3100.5945,578.0685,,1.1573491
356,baigurang,4307,374805.1149,2381287.602,5.987522,0.5306448,44.689415,1.8174757,0.54927164,,563.4996,,1.2444203
357,baigurang,4309,374887.665,2381255.005,4.9942446,0.5230364,43.00905,1.9963201,0.54960066,3412.1682,611.07025,,1.189383
358,baigurang,4310,374776.3281,2381187.06,5.381342,0.4925102,42.871803,1.5447227,0.56525147,,567.50867,,1.1790965
359,baigurang,4311,374871.155,2381228.124,5.1022224,0.49058646,43.14466,1.613424,0.56225437,,579.85406,,1.162837
360,baigurang,4312,374869.5013,2381155.773,5.544741,0.5145798,44.836594,1.6863958,0.5566425,3465.1038,594.71594,,1.2089909
361,baigurang,4314,374842.1963,2381112.17,5.91653,0.5233881,46.209915,1.9699382,0.6049056,3527.2715,640.6947,,1.2342257
362,baigurang,4315,374829.0729,2381063.486,5.1477833,0.48262,41.282448,1.8016453,0.55848646,,613.5575,,1.1572995
363,baigurang,4316,374776.5795,2380990.673,4.9408784,0.42059252,39.339474,1.4082146,0.53122735,2887.602,510.9404,64.29111,1.0839419
364,baigurang,4317,374750.7561,2380953.631,5.617647,0.49390385,43.15517,1.7536364,0.5809392,3170,591.39185,,1.1916816
365,baigurang,4318,374735.0927,2380923.786,4.5078807,0.40387237,35.71664,1.5901189,0.55660146,2504.4412,566.12854,,1.0407563
366,baigurang,4319,374719.8527,2380903.889,4.824373,0.42622516,37.432835,1.598338,0.5770154,2632.8323,574.5999,39.35831,1.0828406
367,baigurang,4320,374695.2993,2380905.371,6.416819,0.54251814,46.518867,1.9519693,0.6123998,,613.02576,,1.2728608
368,baigurang,4322,374663.7609,2380873.197,5.057041,0.4511509,39.044563,1.5638397,0.5206347,2789.435,541.34705,49.618023,1.1209567
369,baigurang,4324,374625.2375,2380858.169,5.6369863,0.5121727,43.496746,1.7269303,0.572069,3219.5874,580.78235,,1.2108312
370,baigurang,4325,374586.0791,2380845.469,5.81803,0.539651,45.15995,1.8272552,0.59935385,3436.5688,595.09845,55.5936,1.2463111
371,baigurang,4326,374615.0775,2380828.959,5.5634785,0.49695835,42.713276,1.7348837,0.55351174,3110.4143,570.837,,1.1922419
372,baigurang,4327,374457.0998,2380627.089,6.0145984,0.49072817,44.322582,1.5373002,0.5292779,,554.9093,,1.2056085
