,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
90,baigurang,3952,373374.9111,2381417.223,-9.059196,-16.274853,7.2156563,-12.667025,0.5566377
91,baigurang,3953,373404.2005,2381408.651,-11.839648,-17.151352,5.3117037,-14.495501,0.6903041
92,baigurang,3955,373416.9799,2381409.762,-12.039896,-18.00251,5.962614,-15.021203,0.66878986
93,baigurang,3956,373427.9337,2381424.367,-10.099419,-18.597786,8.498367,-14.348602,0.54304415
94,baigurang,3957,373423.568,2381434.13,-11.488065,-18.886948,7.398883,-15.187506,0.6082542
95,baigurang,3958,373437.6968,2381440.559,-11.558344,-18.27124,6.7128963,-14.914792,0.6325977
96,baigurang,3959,373434.9981,2381452.307,-12.31732,-17.514145,5.196825,-14.915732,0.7032784
97,baigurang,3961,373479.9178,2381479.438,-11.533346,-19.948421,8.415075,-15.740884,0.5781583
98,baigurang,3963,373506.6408,2381509.733,-12.379781,-17.640993,5.2612123,-15.010387,0.70176214
99,baigurang,3965,373514.9752,2381601.014,-11.406207,-19.29558,7.889373,-15.350893,0.59113055
100,baigurang,3967,373562.9971,2381637.13,-11.477902,-19.370802,7.8928995,-15.424353,0.5925363
101,baigurang,3970,373587.6034,2381697.984,-11.690449,-19.254158,7.5637093,-15.472303,0.6071649
102,baigurang,3973,373599.8272,2381571.545,-12.988602,-17.684763,4.6961613,-15.336682,0.73445153
103,baigurang,3974,373959.7684,2381636.487,-14.265027,-22.596943,8.331916,-18.430984,0.63128126
104,baigurang,3976,373968.9627,2381614.989,-11.817993,-19.385853,7.5678596,-15.601923,0.60961944
105,baigurang,3977,373953.683,2381614.659,-11.239237,-17.14461,5.9053726,-14.191923,0.6555551
106,baigurang,3980,373879.2159,2381612.595,-14.968402,-18.935173,3.9667711,-16.951788,0.7905078
107,baigurang,3981,373933.9847,2381575.13,-13.524863,-17.383986,3.8591223,-15.454424,0.77800703
108,baigurang,3982,373964.306,2381596.561,-11.66413,-17.431154,5.767024,-14.547642,0.6691542
109,baigurang,3983,373951.7647,2381557.191,-13.055953,-17.86131,4.805356,-15.4586315,0.7309628
110,baigurang,3984,373895.2496,2381544.967,-11.283747,-19.259941,7.9761944,-15.271844,0.5858661
111,baigurang,3985,373873.9771,2381540.998,-14.09271,-19.738157,5.6454477,-16.915434,0.71398306
112,baigurang,3986,373827.4632,2381536.871,-12.030385,-19.51994,7.4895544,-15.775162,0.6163126
113,baigurang,3988,373907.9497,2381504.327,-10.670056,-17.794752,7.124696,-14.232405,0.59961814
114,baigurang,3990,373853.657,2381464.745,-12.904781,-16.87591,3.9711285,-14.890346,0.7646866
115,baigurang,3994,373765.5788,2381375.87,-10.163637,-19.399487,9.235849,-14.781562,0.52391267
116,baigurang,3995,373751.8205,2381347.824,-9.12813,-16.341608,7.213478,-12.734869,0.5585821
117,baigurang,3996,373770.3414,2381338.96,-11.854163,-17.648502,5.794339,-14.751333,0.671681
118,baigurang,3997,373716.3662,2381332.743,-12.710057,-17.077213,4.367156,-14.893635,0.74426997
119,baigurang,3998,373694.6704,2381328.377,-14.582149,-18.41382,3.8316717,-16.497984,0.7919133
120,baigurang,3999,373665.5661,2381303.374,-14.007476,-18.812271,4.8047953,-16.409874,0.7445925
121,baigurang,4000,373675.7526,2381270.169,-9.363569,-16.92247,7.558901,-13.14302,0.55332166
122,baigurang,4001,373715.0433,2381283.001,-10.617312,-15.501575,4.884263,-13.059444,0.6849183
123,baigurang,4002,373685.9391,2381225.586,-11.439036,-16.238865,4.7998285,-13.838951,0.70442337
124,baigurang,4003,373659.7453,2381218.046,-12.727745,-16.704933,3.977188,-14.716339,0.7619153
125,baigurang,4004,373654.7182,2381191.587,-11.537045,-16.577232,5.040188,-14.057138,0.69595724
126,baigurang,4006,373613.84,2381148.989,-15.63604,-19.030144,3.394104,-17.333092,0.8216459
127,baigurang,4007,373565.6857,2381161.292,-13.957479,-18.480495,4.523017,-16.218987,0.75525457
128,baigurang,4008,373541.344,2381173.463,-10.997803,-16.890858,5.893055,-13.94433,0.6511098
129,baigurang,4011,373500.3335,2381129.41,-11.800231,-18.127548,6.327317,-14.96389,0.65095574
130,baigurang,4012,373533.0096,2381134.966,-12.310446,-18.902197,6.591751,-15.606321,0.6512706
131,baigurang,4013,373561.1878,2381115.916,-11.949313,-19.423737,7.4744234,-15.686525,0.6151913
132,baigurang,4016,373480.2251,2381157.059,-11.667347,-19.559225,7.891878,-15.613286,0.59651375
133,baigurang,4017,373532.6128,2381192.513,-12.386532,-16.625513,4.2389812,-14.506022,0.74503154
134,baigurang,4018,373485.3845,2381222.94,-12.395722,-18.625622,6.2298994,-15.510672,0.66551995
135,baigurang,4019,373492.1314,2381249.531,-10.5894785,-18.78987,8.200391,-14.689674,0.56357384
136,baigurang,4020,373463.4241,2381227.968,-13.148192,-19.394255,6.2460623,-16.271223,0.67794263
137,baigurang,4021,373449.4011,2381258.924,-11.647622,-17.486347,5.838725,-14.566984,0.66609806
138,baigurang,4022,373456.4126,2381281.81,-11.194095,-19.37087,8.176776,-15.282482,0.5778829
139,baigurang,4023,373475.8595,2381288.425,-11.139342,-19.434265,8.294923,-15.286804,0.5731805
140,baigurang,4024,373444.374,2381302.448,-11.143706,-18.73092,7.5872145,-14.937313,0.5949364
141,baigurang,4026,373586.6375,2381109.616,-13.061137,-17.621357,4.56022,-15.341248,0.74121064
142,baigurang,4028,373562.3321,2381191.736,-12.105968,-17.915941,5.809973,-15.010955,0.6757093
143,baigurang,4029,373604.6656,2381164.616,-12.670498,-19.402166,6.7316685,-16.036331,0.65304554
144,baigurang,4030,373646.6021,2381204.965,-13.558994,-17.801916,4.242922,-15.680455,0.76165926
145,baigurang,4031,373662.3448,2381232.217,-10.866522,-16.927021,6.060499,-13.896771,0.64196306
146,baigurang,4032,373684.0407,2381209.728,-12.318992,-14.941154,2.6221619,-13.630073,0.8245007
147,baigurang,4033,373705.7366,2381200.467,-11.594051,-15.912414,4.318362,-13.753233,0.7286168
148,baigurang,4034,373431.7115,2381334.558,-10.468166,-18.112234,7.644068,-14.2902,0.5779611
149,baigurang,4035,373603.6857,2380984.985,-12.449858,-19.470816,7.020958,-15.960337,0.6394112
150,baigurang,4037,373615.5391,2380938.418,-10.388612,-19.810747,9.422135,-15.09968,0.5243927
151,baigurang,4038,373665.4925,2380984.35,-10.668482,-18.442476,7.7739944,-14.555479,0.5784734
152,baigurang,4039,373654.2741,2381014.195,-12.254082,-18.089926,5.835844,-15.172004,0.67739815
153,baigurang,4041,373679.6742,2381027.107,-12.325229,-21.21206,8.886832,-16.768644,0.58104813
154,baigurang,4042,373698.9359,2381004.247,-10.101339,-19.445444,9.344105,-14.773392,0.51947075
155,baigurang,4043,373699.7826,2381046.58,-11.226534,-19.121853,7.895319,-15.174193,0.5871049
156,baigurang,4045,373677.3459,2380954.082,-13.922163,-19.323673,5.4015102,-16.622917,0.72047186
157,baigurang,4046,373721.7959,2380984.562,-11.287636,-17.83181,6.544174,-14.559723,0.6330056
158,baigurang,4048,373728.146,2381100.343,-10.2331705,-20.33094,10.09777,-15.282055,0.50332993
159,baigurang,4049,373768.5744,2381065.842,-10.3135,-19.317566,9.0040655,-14.815533,0.53389233
160,baigurang,4050,373749.736,2381051.025,-12.602965,-17.773083,5.1701174,-15.1880245,0.70910406
161,baigurang,4051,373816.4111,2381111.774,-11.910491,-19.089085,7.1785936,-15.499788,0.6239425
