,CLASS_NAME,num,x,y,RVI,DVI,GNDVI,EVI2,MTVI2,MCARI,NDVIRE,NDWI,CMRI,advanced1,advanced2,advanced5,advanced6,advanced7,advanced10,higher3,higher5,higher6,higher7,higher8,higher9,simple2,simple4,simple6,simple7
3153,luodi,3215,374565.8584,2381192.799,0.7234727,-0.025799997,-0.2483296,-0.049945015,-0.007075679,-0.006621565,-0.08425333,0.2483296,-0.40877733,49.710526,42.88435,124.69806,5.1813188,2.5267844,0.9897036,17.433735,0.000411174,2587.6204,0.000387673,2431.6758,0.000549848,7.893652,0.2181897,470.9051,29487.863
3154,luodi,3216,374571.084,2381187.838,0.099089995,-0.089099996,-0.8446909,-0.1786058,-0.0881115,-0.018054236,-0.34101695,0.8446909,-1.6643782,51.29086,44.641163,128.41507,5.2050896,2.53241,0.98902917,17.189024,0.000387861,2756.7043,0.000362001,2562.2656,0.000536517,7.905938,0.23263367,-138.20653,28465.652
3155,luodi,3219,374577.1032,2381180.76,0.14708786,-0.0864,-0.76140916,-0.17169838,-0.09647801,-0.009143058,-0.08400212,0.76140916,-1.5049548,52.126038,41.96888,119.279945,5.167747,2.5187383,0.9899983,17.14375,0.00037282,2862.2969,0.000344652,2632.3333,0.000599016,7.891411,0.2434342,-269.18616,25843.625
3156,luodi,3220,374581.9319,2381179.57,1.1955556,0.0132,-0.0427046,0.026555082,0.04926191,0.0658394,0.24791084,0.0427046,0.04636422,52.177284,41.64447,114.106964,5.1710653,2.5413167,0.99056494,16.93808,0.000371744,2867.223,0.000345505,2648.1475,0.00056881,7.8869004,0.22670107,-225.59326,24524.441
3157,luodi,3221,374587.2897,2381182.282,0.15065724,-0.084,-0.73581564,-0.1676968,-0.1071344,-0.017697874,-0.19951484,0.73581564,-1.4739528,52.049862,42.27175,114.33909,5.163289,2.5498528,0.99102706,17.533743,0.000370496,2876.73,0.000346983,2679.8215,0.000555808,7.9189854,0.22368619,-240.25201,25138.996
3158,luodi,3222,374591.7876,2381191.344,34.776314,0.51339996,0.75556296,0.8200859,0.95680875,3.5853107,0.8900543,-0.75556296,1.6996601,51.372578,42.74069,118.2176,5.19533,2.5407832,0.9890265,18.188236,0.000381955,2790.797,0.000368803,2677.1743,0.000488288,7.8885565,0.20202087,-121.551155,26072.635
3159,luodi,3223,374597.5423,2381185.523,1.9119879,0.060100004,0.13309352,0.11700257,0.13274828,0.071444735,0.25578767,-0.13309352,0.4462775,51.587257,44.807484,122.205,5.1998653,2.5679479,0.989448,17.918919,0.000379709,2818.6997,0.000360641,2665.3455,0.000519914,7.9235177,0.2099225,-220.72484,27263.523
3160,luodi,3226,374563.6756,2381167.068,7.2411165,0.24589999,0.5289389,0.4455162,0.48097143,0.6256249,0.65604544,-0.5289389,1.2862533,51.566483,41.680485,122.03218,5.1860824,2.520854,0.98962986,17.18788,0.000381526,2791.7698,0.000358299,2604.6816,0.000512655,7.969913,0.23270339,-268.41962,27328.22
3161,luodi,3228,374549.3219,2381155.757,0.29218903,-0.0734,-0.57681566,-0.14345126,-0.07968467,-0.000543798,-0.014677097,0.57681566,-1.1245768,51.311634,36.56632,91.72511,5.1349306,2.5623407,0.9917328,17.710447,0.000381896,2758.1433,0.000363962,2593.0347,0.000482256,8.108728,0.19805154,93.35498,17488.898
3162,luodi,3229,374545.1547,2381157.94,0,-0.0997,-1,-0.20112485,-0.1144617,-0.017968103,-0.4640235,1,-2,51.17036,32.59563,83.38806,5.0357866,2.5117521,0.99117196,18.952663,0.00038213,2744.6392,0.000366613,2602.2578,0.000472566,7.956456,0.20264415,137.39758,14599.314
3163,luodi,3230,374540.8553,2381161.446,8.118694,0.23990001,0.5444538,0.44278988,0.48392642,0.82039875,0.7080987,-0.5444538,1.3251243,50.566483,32.21788,86.02664,5.0666623,2.4754112,0.99130344,18.352942,0.000392918,2671.6118,0.000377991,2543.24,0.000471324,7.9702706,0.19841203,200.01472,16425.863
3164,luodi,3231,374542.2443,2381168.788,5.274678,0.1992,0.47317952,0.366813,0.38082638,0.40235376,0.5742348,-0.47317952,1.154438,50.07479,34.40992,101.506714,5.1182055,2.4194064,0.98813,18.122389,0.00039991,2631.188,0.000379843,2473.1658,0.000499152,7.8574314,0.22633411,234.78311,21717.748
3165,luodi,3232,374545.1547,2381174.807,8.077115,0.2845,0.5904972,0.5004644,0.5285109,0.58462185,0.6456589,-0.5904972,1.370163,49.35734,35.717182,107.55017,5.146605,2.400941,0.9888812,18.720238,0.000411334,2561.384,0.000390731,2418.013,0.000512669,7.874417,0.2214876,476.74347,24164.695
3166,luodi,3234,374486.7046,2380926.16,3.9166667,0.21350001,0.507757,0.3649872,0.33441278,0.1941049,0.40196076,-0.507757,1.1009774,51.221607,48.435654,138.75093,5.2531066,2.5902157,0.98864114,16.006134,0.00039112,2752.871,0.000365838,2512.4858,0.000527105,8.038604,0.24517229,-96.99135,34077.84
3167,luodi,3235,374484.588,2380938.225,14.732601,0.3749,0.66818744,0.6385755,0.7192482,1.2328953,0.7721202,-0.66818744,1.5410628,49.98061,50.81126,148.28105,5.3709702,2.5991344,0.98910916,14.302469,0.000405532,2668.5957,0.000374768,2417.7715,0.000545,8.257682,0.21968941,518.8859,43647.16
3168,luodi,3237,374486.0696,2380919.175,15.684647,0.3539,0.68486744,0.6161898,0.6966348,1.3475097,0.79215175,-0.68486744,1.5649967,51.775623,49.016136,138.11441,5.1884465,2.5910764,0.98550725,16.468355,0.000387432,2786.2058,0.000360516,2490.5747,0.000626551,7.790602,0.26420683,-322.65866,34291.574
3169,luodi,3238,374488.1995,2380916.146,0.4001554,-0.0772,-0.40702358,-0.14187212,-0.10220099,-0.024164865,-0.20958649,0.40702358,-0.83543646,51.53047,49.033005,138.84947,5.1803765,2.5903864,0.98503137,16.288462,0.000390019,2765.487,0.000359073,2438.5322,0.000646941,7.7797313,0.26824516,-301.74002,35089.06
3170,luodi,3239,374485.4214,2380909.663,3.272441,0.1443,0.3471637,0.26521835,0.26977357,0.124404274,0.34400824,-0.3471637,0.87904716,52.31025,50.155823,139.49864,5.148594,2.572869,0.9833778,18.184465,0.00037945,2850.327,0.000346503,2501.7485,0.000655786,7.6254797,0.293384,-543.32227,36793.004
3171,luodi,3240,374481.5849,2380904.57,8.950275,0.2878,0.60396045,0.5099655,0.5456186,0.90425986,0.71212715,-0.60396045,1.402961,52.761772,49.66624,146.52646,5.05373,2.4776945,0.978827,19.155405,0.000375863,2874.554,0.000340043,2497.3105,0.000884911,7.2713323,0.35579926,-821.2501,40711.89
3172,luodi,3242,374490.7792,2380912.772,0.40029433,-0.08150001,-0.40997833,-0.14758505,-0.10555759,-0.027587773,-0.29305425,0.40997833,-0.83824956,51.49169,47.388435,127.41247,5.146298,2.6069286,0.9864078,17.158228,0.000391211,2758.5981,0.000362556,2476.8801,0.000637287,7.781488,0.26200148,-252.99329,30936.986
3173,luodi,3243,374495.0787,2380913.037,2.251152,0.1086,0.273794,0.19341463,0.18482381,0.11263872,0.2908497,-0.273794,0.6586274,50.743767,44.040993,112.183365,5.0735593,2.6336536,0.98919356,17.932516,0.000396463,2706.0828,0.000373589,2508.118,0.000596835,7.901154,0.2215214,-33.519802,24013.654
3174,luodi,3244,374495.674,2380903.049,0.37846395,-0.0785,-0.45371428,-0.14527138,-0.094285555,-0.016932528,-0.12067438,0.45371428,-0.90460455,50.671745,44.541832,125.27814,5.1371636,2.5703962,0.9894992,17.978329,0.000393835,2718.5293,0.000367596,2500.5308,0.000608676,7.863329,0.2538591,-18.415781,28411.217
3175,luodi,3246,374494.0204,2380898.485,1.1592039,0.015999995,-0.005972702,0.029461581,0.045432948,0.095704414,0.25083858,0.005972702,0.06775999,50.630196,45.521137,135.9876,5.1717734,2.512482,0.9869026,17.971786,0.000392224,2734.3418,0.000360751,2496.583,0.00062938,7.7873588,0.279898,-11.082761,32366.29
3176,luodi,3247,374488.398,2380895.442,11.127536,0.34939998,0.6398975,0.59555465,0.6492705,1.1750107,0.7452935,-0.6398975,1.4749836,51.765926,48.852413,148.2933,5.1887064,2.5021849,0.98471475,19.006516,0.000382027,2822.8145,0.000344919,2473.0903,0.000676614,7.6263924,0.31421167,-508.29156,39535.957
3177,luodi,3248,374493.0943,2380892.995,0.18993351,-0.0853,-0.726776,-0.16755451,-0.07785529,-0.015329916,-0.18781728,0.726776,-1.4075421,50.844875,46.685078,143.45499,5.211125,2.4888897,0.9860714,17.484276,0.000389615,2759.544,0.000357939,2508.5754,0.000627932,7.798031,0.29454762,-35.607597,35761.312
